time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,4.09,1048,1,1,-1.6329,,,,,,,,,,
4096,3.98,731,5,2,-1.5123999999999997,0.2021675854921341,10,0.2,0.0003,0.6931473264470697,-0.02445685863494873,0.013220045,-2.0735156513750552,0.072900390625,-0.028841111200745218
6144,4.24,660,9,3,-1.1966,0.2979721426963806,20,0.2,0.0003,0.6869379972107709,0.021948933601379395,0.017809544,-2.0443649508059023,0.155810546875,-0.04167072275013197
8192,4.66,634,12,4,-0.8625,0.297651469707489,30,0.2,0.0003,0.7740940762683749,0.030421555042266846,0.013933707,-2.002445665374398,0.159765625,-0.039065427304012704
10240,4.73,574,17,5,-0.8234,0.38477081060409546,40,0.2,0.0003,0.750036396458745,0.01395338773727417,0.013552766,-1.9525214932858943,0.141064453125,-0.03149800901010167
12288,4.72,573,21,6,-0.6441999999999999,0.2924298942089081,50,0.2,0.0003,0.6836730582639575,0.00662839412689209,0.0145367645,-1.8891678959131242,0.156689453125,-0.03094084313197527
14336,4.74,573,25,7,-0.4453999999999998,0.19239047169685364,60,0.2,0.0003,0.49628157950937746,0.018711328506469727,0.015246661,-1.8432087417691947,0.1931640625,-0.028289564605802297
16384,4.88,564,29,8,-0.28759999999999997,0.15209338068962097,70,0.2,0.0003,0.42937621572054924,-0.003343820571899414,0.0164219,-1.8171989016234875,0.20126953125,-0.022836349849239924
