time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates
1,1089,3.58,1,2048,9.97141257,,,,,,,,,,
5,792,3.76,2,4096,11.239155299999998,-1.7797387670725584,35.602134549617766,0.2,-0.029176283450215123,17.20001792907715,0.0003,-0.0031909942626953125,0.190673828125,0.011382367,10
9,646,4.05,3,6144,13.409837589999997,-1.756488849967718,31.530639404058455,0.2,-0.04188362695858814,14.951396942138672,0.0003,0.24688130617141724,0.171826171875,0.016348327,20
13,602,4.18,4,8192,15.474246940000002,-1.7064263977110385,28.230244606733322,0.2,-0.05159054630203173,17.141407012939453,0.0003,0.38279563188552856,0.241845703125,0.017726608,30
24,414,4.35,5,10240,16.61383818,-1.622800724580884,28.57555759549141,0.2,-0.046371889428701255,9.459941864013672,0.0003,0.4483504295349121,0.258251953125,0.02303631,40
29,423,4.55,6,12288,18.97192961,-1.51674276702106,26.434785151481627,0.2,-0.04283103392226621,19.623729705810547,0.0003,0.5208156108856201,0.2458984375,0.02267426,50
39,362,4.8,7,14336,21.8574001,-1.4181239727884531,25.484489798545837,0.2,-0.038956795577541926,10.376704216003418,0.0003,0.5635982751846313,0.21328125,0.023672063,60
43,372,4.83,8,16384,22.995900350000007,-1.3148713920265436,19.821852868795396,0.2,-0.03218799097376177,11.288025856018066,0.0003,0.6645398139953613,0.241943359375,0.018407807,70
55,334,4.84,9,18432,23.350703500000005,-1.1858499836176635,14.281164467334747,0.2,-0.020577160504763013,6.3546953201293945,0.0003,0.7598497867584229,0.214111328125,0.022627324,80
59,344,4.94,10,20480,24.115127910000005,-1.0672928817570209,12.814847565442324,0.2,-0.01966900582483504,4.6814398765563965,0.0003,0.7860188484191895,0.19677734375,0.016685408,90
71,313,4.92,11,22528,24.802522050000007,-0.9926371611654758,7.781791364401579,0.2,-0.010398714132315945,6.224997520446777,0.0003,0.867160439491272,0.238818359375,0.018503381,100
76,320,4.95,12,24576,24.831779620000006,-0.9457698097452522,6.259687731228769,0.2,-0.007098653087450657,0.9090324640274048,0.0003,0.8908471465110779,0.233056640625,0.013355004,110
88,300,4.93,13,26624,24.95955242000001,-0.9347405267879367,4.127531705331057,0.2,-0.006009509808791336,1.9723507165908813,0.0003,0.9269099235534668,0.28173828125,0.01616509,120
98,290,5.0,14,28672,25.51287073000001,-0.905742471665144,4.427020025788806,0.2,-0.009583442537405062,1.3775888681411743,0.0003,0.920539915561676,0.254931640625,0.016533319,130
107,285,4.95,15,30720,25.263991860000004,-0.8470128526911139,1.4527892298239748,0.2,-0.0030061885132454335,0.5627335906028748,0.0003,0.973470151424408,0.326025390625,0.030666623,140
111,295,5.0,16,32768,25.503613140000006,-0.8183013118803502,2.6651407382509205,0.2,-0.00281420419778442,8.503925323486328,0.0003,0.9524350762367249,0.23154296875,0.025246065,150
114,303,4.98,17,34816,25.29917370000001,-0.8343817090615631,1.5035045687458477,0.2,-0.00037216419004835186,1.2599202394485474,0.0003,0.9732214212417603,0.29609375,0.022207862,160
117,312,4.99,18,36864,25.461022220000007,-0.8130542829632759,3.530486950825434,0.2,-0.0061228091442899315,0.2746298015117645,0.0003,0.9375537037849426,0.302099609375,0.025562005,170
121,320,4.99,19,38912,25.43102222000001,-0.8242990899831056,1.4197479934897275,0.2,-0.0045022136342595335,3.2231218814849854,0.0003,0.9743398427963257,0.248876953125,0.0173989,180
125,327,4.99,20,40960,25.43102222000001,-0.7891622081398963,1.3031935357590556,0.2,-0.0045146908581955355,0.3344193994998932,0.0003,0.9768778085708618,0.311328125,0.033345483,190
129,332,4.98,21,43008,25.26324944000001,-0.7620186902582645,1.5894090666435658,0.2,-0.0026483802634174936,1.8828165531158447,0.0003,0.9725111722946167,0.23935546875,0.027673207,200
133,337,4.98,22,45056,25.388431300000008,-0.7226061325520277,2.0759078279763346,0.2,0.00039005592843750493,4.102282524108887,0.0003,0.9637947082519531,0.269580078125,0.016640836,210
137,343,5.0,23,47104,25.62879500000001,-0.658035472780466,1.6157370394736064,0.2,-0.004246586158114951,2.7659265995025635,0.0003,0.9715486764907837,0.292041015625,0.039345447,220
141,348,4.95,24,49152,23.995506600000002,-0.6275451677851379,0.1642065511419787,0.2,-0.001882518866477767,0.2439403235912323,0.0003,0.9971264004707336,0.260986328125,0.054048643,230
145,352,4.99,25,51200,25.371764620000008,-0.6510298978537321,4.872359699755907,0.2,-0.025329215862439015,4.373322010040283,0.0003,0.9219154715538025,0.17509765625,0.04522388,240
2,773,5.0,1,2048,7.19594496,-0.698781961761415,1.4685220182233025,0.2,-0.012539026247395668,0.18717807531356812,0.0003,0.9736316800117493,0.2501953125,0.046823993,250
10,405,4.98,2,4096,8.19092057,-5.878381404280662,7.411321590095758,0.2,-0.06339316462108399,6.40492057800293,0.0003,-0.0005123615264892578,0.472265625,0.026264895,10
17,352,4.95,3,6144,9.44826202,-5.816616639494896,10.42240181863308,0.2,-0.06059785084798932,4.643810749053955,0.0003,2.7418136596679688e-06,0.463134765625,0.031026196,20
24,331,4.95,4,8192,10.51597247,-5.721057870984078,13.229076784849166,0.2,-0.06680991811736021,6.613753795623779,0.0003,1.4901161193847656e-06,0.514501953125,0.030335685,30
31,320,4.92,5,10240,12.42348306,-5.592472694814205,17.497786292433737,0.2,-0.06516466671891977,9.71300983428955,0.0003,7.748603820800781e-07,0.53037109375,0.031652015,40
39,312,4.95,6,12288,13.800868049999998,-5.4394736111164095,23.077698221802713,0.2,-0.0627229064819403,10.623056411743164,0.0003,8.344650268554688e-07,0.516064453125,0.024598006,50
46,307,4.93,7,14336,15.454329560000001,-5.281181772053242,28.12147668004036,0.2,-0.06244893535622396,11.536380767822266,0.0003,5.960464477539062e-07,0.517236328125,0.025809731,60
53,304,4.88,8,16384,15.91166474,-5.091837415099144,33.24685544371605,0.2,-0.06069231335131917,16.164627075195312,0.0003,4.76837158203125e-07,0.47314453125,0.024395265,70
60,302,4.86,9,18432,17.58219429,-4.922581675648689,38.5473129272461,0.2,-0.051295590307563546,18.59392738342285,0.0003,4.76837158203125e-07,0.42890625,0.021436812,80
68,300,4.68,10,20480,17.72179594,-4.747589448094368,44.121529310941696,0.2,-0.048305165643978396,18.489604949951172,0.0003,8.940696716308594e-07,0.403759765625,0.02289307,90
75,298,4.87,11,22528,20.54485041,-4.580094887316227,51.309188914299014,0.2,-0.044945454952539876,20.312528610229492,0.0003,2.205371856689453e-06,0.38662109375,0.024385754,100
82,296,4.75,12,24576,19.4274588,-4.3627361670136455,56.12208100557327,0.2,-0.0380651269108057,31.17486572265625,0.0003,5.960464477539063e-08,0.340087890625,0.02008209,110
90,295,4.63,13,26624,20.655789809999998,-4.266046404838562,60.072838115692136,0.2,-0.030311191348300782,28.756568908691406,0.0003,1.1920928955078125e-07,0.28154296875,0.018564614,120
97,294,4.65,14,28672,21.6929499,-4.120977878570557,66.09974581003189,0.2,-0.028767456708010286,31.751853942871094,0.0003,4.76837158203125e-07,0.25322265625,0.019141795,130
104,293,4.67,15,30720,22.1115401,-4.062065622210502,69.89271105527878,0.2,-0.029339329764479772,41.01852035522461,0.0003,4.172325134277344e-07,0.26904296875,0.018105345,140
112,292,4.58,16,32768,21.31550256,-3.9641971342265605,69.45492318868637,0.2,-0.03002203314754297,32.33491516113281,0.0003,1.1920928955078125e-07,0.292919921875,0.020011809,150
119,291,4.41,17,34816,21.07039474,-3.882521414011717,71.65904672145844,0.2,-0.02354045625543222,35.62247848510742,0.0003,2.384185791015625e-07,0.2396484375,0.017529208,160
126,291,4.46,18,36864,20.87297947,-3.8147772170603274,77.73779445886612,0.2,-0.019205494108609854,41.36097717285156,0.0003,0.0,0.193212890625,0.016752496,170
