time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates
7,16.49181556,4.99,14336,73,195,-6.456313872337342,0.57900390625,12.246003150939941,28.79932545721531,0.2,0.0003,0.0,-0.07785875053523342,0.036580086,60
8,17.927167179999998,4.93,16384,85,191,-6.3144705384969715,0.536279296875,23.196048736572266,38.103393107652664,0.2,0.0003,0.0,-0.07673821410280653,0.033756807,70
1,13.410412600000003,4.99,2048,3,647,-6.170481817424298,0.52900390625,21.761472702026367,47.27517632842064,0.2,0.0003,0.0,-0.07221484103938565,0.03765156,80
2,14.606901360000002,4.97,4096,16,254,-6.8642113417387005,0.51943359375,11.177753448486328,18.055682024359704,0.2,0.0003,-0.0002079010009765625,-0.07886500023159897,0.029282495,10
3,14.81357015,4.98,6144,29,211,-6.828242303431034,0.53046875,11.83176040649414,22.91128653585911,0.2,0.0003,0.0,-0.07506062870379537,0.02951441,20
4,15.595770779999999,5.0,8192,42,191,-6.774530862271786,0.558740234375,11.365546226501465,26.5401471555233,0.2,0.0003,5.960464477539063e-08,-0.07846648694539908,0.033700302,30
5,16.08718058,5.0,10240,56,181,-6.7131590962409975,0.52958984375,10.919617652893066,26.691962879896163,0.2,0.0003,0.0,-0.0731926649750676,0.035071835,40
6,18.75442795,5.0,12288,70,175,-6.62125713378191,0.56064453125,13.37295150756836,33.521107226610184,0.2,0.0003,0.0,-0.07529800601187162,0.037407734,50
7,20.07655445,4.99,14336,83,171,-6.51273235976696,0.53525390625,18.767993927001953,43.238816076517104,0.2,0.0003,1.7881393432617188e-07,-0.07866326425573789,0.03560911,60
8,20.49364423,5.0,16384,97,167,-6.39495991319418,0.54609375,23.794078826904297,47.481472718715665,0.2,0.0003,0.0,-0.07375445933430455,0.035986982,70
1,12.62493286,4.99,2048,3,542,-6.266475366055966,0.54189453125,28.41245460510254,57.27684199810028,0.2,0.0003,5.960464477539063e-08,-0.07355642919719685,0.03700778,80
2,14.089591919999997,4.99,4096,18,215,-6.876754096150398,0.513037109375,9.204174041748047,17.5547336101532,0.2,0.0003,-0.00015366077423095703,-0.07604333956551272,0.026706401,10
3,14.392264909999996,5.0,6144,32,186,-6.84107454419136,0.548974609375,11.470247268676758,21.533214062452316,0.2,0.0003,-1.1920928955078125e-07,-0.07895143083296716,0.030920427,20
4,15.049896530000002,4.98,8192,46,174,-6.800746838748455,0.5369140625,12.1405029296875,24.908088693022727,0.2,0.0003,0.0,-0.07312425699201412,0.03497702,30
5,16.256186480000004,4.99,10240,60,168,-6.748679940402508,0.552685546875,13.819172859191895,27.025886243581773,0.2,0.0003,0.0,-0.07795259050326422,0.033227578,40
6,17.19022732,4.98,12288,74,163,-6.67272125929594,0.514599609375,14.707062721252441,33.1144495010376,0.2,0.0003,1.1920928955078125e-07,-0.07614147405547556,0.03481692,50
7,18.895576430000002,4.96,14336,89,159,-6.579028837382793,0.55576171875,18.477251052856445,40.3220779299736,0.2,0.0003,1.7881393432617188e-07,-0.07955415241012816,0.036865942,60
8,21.21978471,4.98,16384,104,157,-6.446601058542728,0.546435546875,26.274097442626953,50.38444653749466,0.2,0.0003,0.0,-0.07538292925164569,0.038465876,70
1,13.885849830000002,5.0,2048,3,534,-6.310567961633206,0.536767578125,32.193885803222656,59.088006341457366,0.2,0.0003,0.0,-0.07454256394703407,0.034214653,80
2,14.53121315,5.0,4096,18,217,-6.886300471425057,0.53779296875,9.731334686279297,19.322718080878257,0.2,0.0003,0.00024068355560302734,-0.08270078222922166,0.02766148,10
3,14.73070968,5.0,6144,33,183,-6.847235003113747,0.56083984375,13.26050090789795,22.553575706481933,0.2,0.0003,0.0,-0.08150304916489404,0.030430857,20
4,15.44257255,4.99,8192,48,170,-6.809409974515438,0.5419921875,13.89749813079834,27.133174932003023,0.2,0.0003,0.0,-0.07868188850698062,0.03394209,30
5,16.083013599999997,5.0,10240,63,162,-6.750012138485909,0.553564453125,14.996642112731934,29.869829612970353,0.2,0.0003,5.960464477539063e-08,-0.07856635699572508,0.033316348,40
6,17.69315733,4.99,12288,77,157,-6.674065415561199,0.5779296875,11.328630447387695,31.930677983164788,0.2,0.0003,0.0,-0.08344715781859122,0.03767738,50
7,19.038403880000004,4.96,14336,92,155,-6.584867502748966,0.532470703125,19.405099868774414,40.01300333142281,0.2,0.0003,0.0,-0.0764676845719805,0.036949396,60
8,21.38818643,5.0,16384,106,153,-6.470773005485535,0.526904296875,36.380218505859375,47.837452220916745,0.2,0.0003,-1.1920928955078125e-07,-0.07196985418268013,0.034140773,70
1,13.6553594,5.0,2048,4,495,-6.335998265445232,0.515478515625,25.437816619873047,57.45744106769562,0.2,0.0003,0.0,-0.07370541358250193,0.031273454,80
2,14.312207869999998,4.99,4096,19,206,-6.9664048418402675,0.524462890625,9.0723876953125,18.94110004007816,0.2,0.0003,0.00010383129119873047,-0.08038208071375266,0.027436264,10
3,15.017744599999999,5.0,6144,35,172,-6.931872257590294,0.56005859375,12.725379943847656,23.14471655189991,0.2,0.0003,-1.1920928955078125e-07,-0.08144136024930049,0.032298356,20
4,16.69099486,5.0,8192,51,160,-6.8914135351777075,0.537646484375,15.007268905639648,26.69178739488125,0.2,0.0003,5.960464477539063e-08,-0.08089208975434303,0.033470955,30
5,16.7987936,4.99,10240,66,153,-6.838860832154751,0.54384765625,19.800024032592773,33.03602032065392,0.2,0.0003,0.0,-0.08374715514073613,0.03452322,40
6,18.819051950000002,4.99,12288,82,149,-6.773407651484012,0.568603515625,18.449317932128906,34.46942223310471,0.2,0.0003,0.0,-0.08139129639894235,0.03614282,50
7,20.76597042,4.99,14336,97,146,-6.682245995104313,0.522705078125,21.865100860595703,41.49111595749855,0.2,0.0003,-1.1920928955078125e-07,-0.07465690401440953,0.036641154,60
