time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance
882,4.95,2048,2,7.0302565800000005,1,,,,,,,,,,
475,4.95,4096,8,7.609273160000002,2,0.0003,2.7917497158050537,10,-0.06273543833667646,-5.85507140904665,6.166606328636408,0.47138671875,0.024927363,0.2,0.0005370378494262695
414,4.96,6144,14,8.61383182,3,0.0003,3.6551272869110107,20,-0.06380445710092317,-5.812444135546684,9.112903963029385,0.473388671875,0.029566672,0.2,2.86102294921875e-06
894,4.97,2048,2,8.031056379999999,1,0.0003,4.813232898712158,30,-0.06547323554987088,-5.736612452566623,11.625705195963382,0.482177734375,0.02676449,0.2,8.940696716308594e-07
439,4.96,4096,9,8.564199219999999,2,0.0003,4.938784122467041,10,-0.06533545682468685,-5.994457815587521,8.283088400959969,0.480712890625,0.02489449,0.2,-7.283687591552734e-05
374,5.0,6144,16,9.765554909999999,3,0.0003,4.415597915649414,20,-0.0644866960181389,-5.946165525913239,10.888523033261299,0.48671875,0.03204427,0.2,1.7881393432617188e-07
857,5.0,2048,2,7.928147689999999,1,0.0003,13.412026405334473,30,-0.06962191422499017,-5.854291081428528,14.765367498993873,0.534619140625,0.03212457,0.2,2.384185791015625e-07
415,4.98,4096,9,7.96912719,2,0.0003,4.003200531005859,10,-0.07060589703614824,-6.185653708875179,8.04929322898388,0.49833984375,0.025921337,0.2,-1.5616416931152344e-05
359,4.93,6144,17,9.07703789,3,0.0003,5.730251312255859,20,-0.063019222553703,-6.142215310037136,9.818901060521602,0.466162109375,0.028482512,0.2,5.960464477539062e-07
723,5.0,2048,2,10.078768199999999,1,0.0003,5.631392955780029,30,-0.06804909674974624,-6.069153228402138,13.153384116291999,0.521533203125,0.033267923,0.2,2.384185791015625e-07
311,4.99,4096,13,10.46143987,2,0.0003,4.920843124389648,10,-0.08125055653508753,-6.664202968776226,10.944134531915187,0.5419921875,0.027209394,0.2,0.00019228458404541016
260,4.97,6144,23,11.273726350000004,3,0.0003,9.586423873901367,20,-0.07137379243504256,-6.6196907117962835,14.64584914445877,0.541650390625,0.03012178,0.2,-1.1920928955078125e-07
684,5.0,2048,2,10.65699214,1,0.0003,11.354056358337402,30,-0.07661607068148442,-6.56300762295723,17.34231625497341,0.564599609375,0.034745604,0.2,0.0
280,5.0,4096,14,11.002764659999995,2,0.0003,5.860487461090088,10,-0.07953669610142242,-6.797440502047539,11.640262883901595,0.53544921875,0.027849149,0.2,1.150369644165039e-05
235,5.0,6144,26,12.61050045,3,0.0003,7.438174724578857,20,-0.07509443614108022,-6.762443982064724,15.790879473090172,0.52861328125,0.031715076,0.2,-1.1920928955078125e-07
647,4.98,2048,3,13.96738767,1,0.0003,9.711859703063965,30,-0.07921733213006518,-6.7061613872647285,19.714091369509696,0.55458984375,0.033736847,0.2,0.0
270,5.0,4096,15,13.750123660000003,2,0.0003,9.161222457885742,10,-0.0777689896785887,-6.864904057979584,18.132383450865746,0.5078125,0.027071487,0.2,-5.793571472167969e-05
224,5.0,6144,27,15.218693120000001,3,0.0003,12.210803031921387,20,-0.07557016345963348,-6.832658635079861,22.336895370483397,0.525048828125,0.03216732,0.2,0.0
644,4.97,2048,3,12.88209706,1,0.0003,14.653594970703125,30,-0.07609903803095222,-6.794336976110936,25.683476927876473,0.523681640625,0.028916769,0.2,-1.1920928955078125e-07
163,5.0,4096,25,14.1460319,2,0.0003,9.004880905151367,10,-0.08055772546940716,-6.875429125130177,16.96228827536106,0.530517578125,0.027492095,0.2,0.00012236833572387695
164,4.98,6144,37,14.344063760000001,3,0.0003,8.546582221984863,20,-0.07771505535347387,-6.841194759309292,22.222613674402236,0.549609375,0.030935515,0.2,-1.1920928955078125e-07
644,5.0,2048,3,13.461321919999998,1,0.0003,15.308476448059082,30,-0.08108155999798328,-6.7951978370547295,25.47999100089073,0.56201171875,0.03379888,0.2,5.960464477539063e-08
257,4.98,4096,15,14.297371629999997,2,0.0003,8.994221687316895,10,-0.07764267625898355,-6.886904114484787,18.119332510232926,0.51171875,0.026742853,0.2,-4.5299530029296875e-06
215,5.0,6144,28,14.421354430000001,3,0.0003,12.788579940795898,20,-0.07744218473962974,-6.8549829632043835,23.111388874053954,0.532177734375,0.030448271,0.2,-1.1920928955078125e-07
474,5.0,2048,4,13.921656359999997,1,0.0003,9.443779945373535,30,-0.07713461737148464,-6.804759733378887,25.455265510082246,0.5685546875,0.034433037,0.2,1.7881393432617188e-07
128,5.0,4096,31,14.645710270000002,2,0.0003,6.768945693969727,10,-0.08280397063062991,-6.966413781046867,18.907004788517952,0.52421875,0.02674919,0.2,-9.000301361083984e-05
130,5.0,6144,47,15.57598473,3,0.0003,12.52380084991455,20,-0.08263575733144535,-6.927353373169899,24.609993597865106,0.5583984375,0.032297477,0.2,5.960464477539063e-08
537,5.0,2048,3,14.278224749999998,1,0.0003,14.082447052001953,30,-0.07515888336347416,-6.884903958439827,28.766215392947196,0.53203125,0.032405414,0.2,0.0
204,5.0,4096,20,14.251542679999998,2,0.0003,5.695836067199707,10,-0.09012429706199328,-7.145180895924568,20.329300022125246,0.5693359375,0.029860143,0.2,-0.00016355514526367188
172,4.99,6144,35,15.572944020000001,3,0.0003,13.70930290222168,20,-0.08425487586937379,-7.111369383335114,22.8979144603014,0.578173828125,0.032986216,0.2,5.960464477539063e-08
526,5.0,2048,3,14.197453340000003,1,0.0003,14.908308982849121,30,-0.08793116035958519,-7.06533143222332,27.758826667070387,0.6017578125,0.036655176,0.2,5.960464477539063e-08
187,4.98,4096,21,15.008985679999999,2,0.0003,12.84752082824707,10,-0.08924932669469854,-7.2487435936927795,21.378034451603888,0.563427734375,0.032475807,0.2,-5.805492401123047e-05
155,5.0,6144,39,16.296478710000002,3,0.0003,16.454500198364258,20,-0.084725718467962,-7.211854773759842,27.032500207424164,0.5876953125,0.035962526,0.2,0.0
