time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss
2048,1029,1,1,4.27,-0.5373000699999999,,,,,,,,,,
4096,724,5,2,4.28,-0.36003341,0.015942536,10,0.2,-0.016106247901916504,-0.027212182950461284,0.5285148024559021,1.152199649438262,0.170361328125,0.0003,-2.819862450659275
6144,656,9,3,4.6,-0.20980006999999998,0.010235392,20,0.2,-0.010732412338256836,-0.025523994854302144,0.5686471462249756,1.14573224298656,0.13271484375,0.0003,-2.8001621715724467
8192,570,14,4,4.44,-0.04816678000000001,0.014145447,30,0.2,-0.0008345842361450195,-0.03348094391694758,0.616155743598938,1.1706502474844456,0.166845703125,0.0003,-2.777390896528959
10240,564,18,5,4.8,0.3556332,0.013163291,40,0.2,-0.00768280029296875,-0.028671011922415345,0.41002321243286133,1.1166865704581141,0.145263671875,0.0003,-2.7292460866272448
12288,562,21,6,4.69,0.48849988000000005,0.015108897,50,0.2,0.022742152214050293,-0.03289170086063677,0.49973583221435547,1.0095652457326652,0.240771484375,0.0003,-2.6814341098070145
14336,561,25,7,4.77,0.72246653,0.01924357,60,0.2,0.04379236698150635,-0.03935625900048763,0.4942533075809479,1.0842620266601444,0.256396484375,0.0003,-2.603943394869566
16384,541,30,8,4.72,0.5850331999999999,0.018743034,70,0.2,0.0709000825881958,-0.03568935432122089,0.5509520769119263,0.9503181719221174,0.286279296875,0.0003,-2.520055379718542
18432,543,33,9,4.82,0.9484665200000001,0.019989558,80,0.2,0.09988254308700562,-0.04132483660505386,0.46545106172561646,0.9960738411173224,0.342529296875,0.0003,-2.3996326990425585
20480,542,37,10,4.9,1.3840331499999996,0.020615129,90,0.2,0.16419386863708496,-0.03417578758526361,0.43149125576019287,0.8549716762267053,0.31435546875,0.0003,-2.269529567658901
22528,534,42,11,4.86,1.29143317,0.02136239,100,0.2,0.24322634935379028,-0.0359686384734232,0.40672361850738525,0.6631495040841401,0.357568359375,0.0003,-2.1358937695622444
24576,534,45,12,5.0,1.7213331499999995,0.024817785,110,0.2,0.2721629738807678,-0.037523407585103995,0.26026976108551025,0.6518730442970991,0.415380859375,0.0003,-2.028170757368207
26624,536,49,13,4.94,1.62069979,0.019982664,120,0.2,0.36863356828689575,-0.02995100518455729,0.20382064580917358,0.5173700989224017,0.379052734375,0.0003,-1.8753089737147093
28672,538,53,14,4.91,1.7639330799999997,0.024655307,130,0.2,0.45491600036621094,-0.02515666981926188,0.1480712890625,0.4093306361231953,0.40029296875,0.0003,-1.743245067447424
30720,532,57,15,4.96,1.9120330399999994,0.024480652,140,0.2,0.5895642042160034,-0.012031263454991859,0.17739197611808777,0.29868878292618317,0.295849609375,0.0003,-1.6445102497935296
32768,533,61,16,4.97,1.9612996899999997,0.024121309,150,0.2,0.5781521797180176,-0.013986122685309965,0.17118091881275177,0.31718128875363616,0.309765625,0.0003,-1.497544838488102
34816,533,65,17,4.95,2.0401663499999994,0.035484433,160,0.2,0.7129359245300293,-0.01347778362542158,0.14235925674438477,0.19530458766967057,0.3287109375,0.0003,-1.3710294265300036
36864,534,68,18,4.96,2.0862330299999994,0.029643588,170,0.2,0.743126630783081,-0.019952587912848686,0.007234673947095871,0.17438320675573776,0.35166015625,0.0003,-1.2170745510607959
38912,527,73,19,4.98,2.1843996799999994,0.028943159,180,0.2,0.7021574378013611,-0.016873332032992037,0.10394111275672913,0.21039301837154198,0.307177734375,0.0003,-1.0603973193094134
40960,529,77,20,4.96,2.1174663499999995,0.020279724,190,0.2,0.808316171169281,-0.010629654894000851,0.16229264438152313,0.1215696914732689,0.227197265625,0.0003,-0.9352190103381872
43008,529,81,21,4.99,2.238166339999999,0.02575741,200,0.2,0.7379440069198608,-0.005743694890406914,0.07978108525276184,0.18427809883723967,0.2033203125,0.0003,-0.86052201166749
45056,530,84,22,4.96,2.1840663399999993,0.032681435,210,0.2,0.8851163983345032,-0.005734732585551683,0.024250570684671402,0.07301788005715934,0.225390625,0.0003,-0.7737446689978242
47104,525,89,23,4.99,2.2050330099999993,0.019465955,220,0.2,0.7987495064735413,-0.014481324448570376,0.16151289641857147,0.1314767527688673,0.228271484375,0.0003,-0.7628271231427789
49152,526,93,24,4.99,2.227033009999999,0.014450561,230,0.2,0.8751351833343506,0.0010480957622348796,0.06817518919706345,0.0789100119665818,0.188916015625,0.0003,-0.7405198777094484
51200,528,96,25,5.0,2.2701663399999994,0.02107222,240,0.2,0.8455206751823425,-0.005843850027304143,0.05780188739299774,0.10051278779983477,0.217626953125,0.0003,-0.6867233388125896
