time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
1,2048,1,1071,4.85,-0.3270999999999998,,,,,,,,,,
5,4096,2,723,4.77,-0.40589999999999976,-0.02184350740571972,0.2,-0.0015072822570800781,0.0003,10,0.0147243915,0.10323163866996765,-4.047844249010086,0.3815793281886727,0.2625
9,6144,3,654,4.8,-0.4459999999999998,-0.020954915770562365,0.2,-0.005720853805541992,0.0003,20,0.016580578,0.20760895311832428,-4.041872832179069,0.40085432552732525,0.26650390625
13,8192,4,622,4.77,-0.4456999999999999,-0.018190049225813708,0.2,0.0039476752281188965,0.0003,30,0.015877955,0.1589566171169281,-4.0219014719128605,0.3580741695361212,0.2416015625
16,10240,5,602,4.89,-0.36729999999999974,-0.022498276541591623,0.2,0.0028531551361083984,0.0003,40,0.01735213,0.28920429944992065,-4.024832834303379,0.4174330550711602,0.2681640625
20,12288,6,591,4.88,-0.3870999999999998,-0.017717999551678076,0.2,0.006714820861816406,0.0003,50,0.015976429,0.26038530468940735,-4.003068161010742,0.4557626640424132,0.2189453125
24,14336,7,583,4.88,-0.4268999999999999,-0.019207858297158965,0.2,-0.002147197723388672,0.0003,60,0.016565366,0.2561497688293457,-4.018186809122563,0.43161350190639497,0.24287109375
28,16384,8,578,4.79,-0.40609999999999985,-0.025476699927821755,0.2,0.0031706690788269043,0.0003,70,0.016895968,0.16115671396255493,-4.010164817422629,0.44477123781107364,0.289599609375
32,18432,9,573,4.82,-0.3864999999999998,-0.024960001924773677,0.2,0.006245255470275879,0.0003,80,0.015692547,0.20550671219825745,-4.016055858135223,0.3970440788194537,0.304052734375
35,20480,10,570,4.79,-0.4060999999999998,-0.020455621459404938,0.2,0.0018878579139709473,0.0003,90,0.017653085,0.16776655614376068,-4.019911403954029,0.40983915119431913,0.2646484375
39,22528,11,568,4.86,-0.42669999999999986,-0.023928711825283243,0.2,0.011483430862426758,0.0003,100,0.016656162,0.2583561837673187,-4.003627792745829,0.40101997503079473,0.295263671875
43,24576,12,566,4.85,-0.3270999999999998,-0.0256923819455551,0.2,0.0025740861892700195,0.0003,110,0.016607467,0.21946802735328674,-4.011915262043476,0.4490959597285837,0.278662109375
47,26624,13,564,4.91,-0.3276999999999999,-0.021304187286295927,0.2,0.005414485931396484,0.0003,120,0.01707114,0.22083984315395355,-4.017091834545136,0.3769993279594928,0.272607421875
51,28672,14,560,4.85,-0.34699999999999986,-0.02406647916941438,0.2,0.007086813449859619,0.0003,130,0.015996609,0.12751640379428864,-4.021173942089081,0.43680004118941723,0.275390625
54,30720,15,559,4.87,-0.3869999999999998,-0.020130297509604135,0.2,0.015592455863952637,0.0003,140,0.016561713,0.09153853356838226,-4.014961634576321,0.3551960286917165,0.24951171875
58,32768,16,558,4.84,-0.36679999999999985,-0.024928120357799344,0.2,0.0025156736373901367,0.0003,150,0.016190376,0.11933436989784241,-4.015374894440174,0.367362195183523,0.295556640625
62,34816,17,557,4.88,-0.36719999999999986,-0.02481957598065492,0.2,0.006937503814697266,0.0003,160,0.01734961,0.2941398322582245,-4.016271883249283,0.45567296640947463,0.270654296875
66,36864,18,556,4.87,-0.32729999999999976,-0.01827669974300079,0.2,0.019341588020324707,0.0003,170,0.01479334,0.2215183675289154,-4.008189141750336,0.410100177093409,0.229248046875
69,38912,19,556,4.94,-0.2682999999999999,-0.021946644215495324,0.2,0.002448856830596924,0.0003,180,0.016398693,0.16511303186416626,-4.02784141600132,0.41352580082602797,0.28759765625
73,40960,20,555,4.81,-0.4062999999999999,-0.019602359904092738,0.2,0.008463799953460693,0.0003,190,0.017860256,0.12802812457084656,-4.034018237888813,0.32858304110122843,0.287060546875
77,43008,21,554,4.85,-0.3668999999999998,-0.020585195839521474,0.2,0.01070314645767212,0.0003,200,0.015550734,0.2061130702495575,-4.029483982920647,0.425950370170176,0.253271484375
81,45056,22,554,4.81,-0.38639999999999985,-0.016764064229209907,0.2,0.010036766529083252,0.0003,210,0.015653908,0.13894668221473694,-4.030393418669701,0.3867847427725792,0.2294921875
85,47104,23,553,4.8,-0.5454999999999999,-0.020300254007452168,0.2,0.006821155548095703,0.0003,220,0.016601041,0.21098314225673676,-4.0167651861906055,0.38967590001411734,0.2630859375
88,49152,24,553,4.85,-0.36689999999999984,-0.02192476038762834,0.2,0.010915577411651611,0.0003,230,0.016753208,0.13184867799282074,-4.012590162456036,0.36625792384147643,0.290185546875
92,51200,25,552,4.9,-0.24799999999999994,-0.022224882509908638,0.2,9.97781753540039e-05,0.0003,240,0.016585894,0.1271524876356125,-4.0284960001707075,0.4246087157167494,0.280908203125
