time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/loss
1118,-0.4213999999999999,4.75,2048,1,1,,,,,,,,,,
759,-0.4407999999999999,4.7,4096,5,2,-0.02597415230702609,0.7299823051318526,-3.4832497000694276,0.2,0.0003,0.015527541,0.22744140625,-0.017168879508972168,10,0.41377899050712585
686,-0.31129999999999997,4.72,6144,8,3,-0.021888104450772515,0.7517913864925504,-3.474596294760704,0.2,0.0003,0.016096022,0.179833984375,-0.003999948501586914,20,0.3291330933570862
