time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss
913,1,2,2048,1.0,-0.009999999999999998,,,,,,,,,,
613,2,6,4096,1.0,-0.009999999999999998,0.0,10,0.2,-3.951232671737671,0.0003,nan,0.0,0.0,7.053857931788032e-12,0.0003625943102299241
523,3,11,6144,1.0,-0.009999999999999998,0.0,20,0.2,-3.951232671737671,0.0003,nan,0.0,0.0,3.44880374258949e-14,5.584601151893188e-05
