time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/clip_range
2048,1,-0.19953335,1,1040,4.92,,,,,,,,,,
4096,2,-0.18333335,6,669,4.83,0.10802363604307175,-0.010439276695251465,-4.4835285857319835,0.0003,0.34787843708181754,-0.0348274986637989,0.019037642,0.410400390625,10,0.2
6144,3,-0.052066709999999974,10,599,4.92,0.1039445549249649,-0.001545548439025879,-4.467011699080468,0.0003,0.37249142697546633,-0.030900545910117216,0.019276649,0.3953125,20,0.2
8192,4,-0.08286668999999999,14,568,4.93,0.17195609211921692,-0.0007197856903076172,-4.44259869903326,0.0003,0.44634358789771794,-0.03712249822710874,0.01954249,0.41796875,30,0.2
10240,5,-0.13966670999999997,18,553,4.79,0.12785804271697998,0.00020778179168701172,-4.434994153678417,0.0003,0.3145854024682194,-0.03291166411509039,0.020377126,0.392822265625,40,0.2
12288,6,-0.07220002999999997,22,543,4.78,0.16895997524261475,0.00032192468643188477,-4.4008603423833845,0.0003,0.3696871513267979,-0.0354954608133994,0.020411113,0.44970703125,50,0.2
14336,7,0.056199960000000014,26,536,4.9,0.22933240234851837,0.00037401914596557617,-4.386605860292912,0.0003,0.4274039290845394,-0.02994318945129635,0.0188738,0.38095703125,60,0.2
16384,8,-0.13073335999999997,30,531,4.8,0.18291956186294556,0.0011284947395324707,-4.356365482509136,0.0003,0.41945626377128065,-0.03624373238708358,0.018786605,0.38798828125,70,0.2
