time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/loss
1163,0.027193630000000017,4.85,2048,1,1,,,,,,,,,,
739,-0.06655795999999999,4.84,4096,5,2,-0.0332695317643811,0.453339750925079,-4.007049961388111,0.2,0.0003,0.020979304,0.349951171875,-0.0093308687210083,10,0.19242072105407715
675,0.12075393000000002,4.9,6144,9,3,-0.03172677736729383,0.46930184005759656,-3.9862656354904176,0.2,0.0003,0.020969305,0.357568359375,0.002358078956604004,20,0.20490548014640808
