time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/entropy_loss
2048,1161,1,1,2.79,-1.1820999999999997,,,,,,,,,,
4096,822,4,2,2.86,-0.745,0.2,0.9065748946741223,10,-0.05728929903998505,0.0003,0.025029182,-0.0055429935455322266,0.175244140625,0.3529287874698639,-1.5983639881014824
6144,753,8,3,2.94,-0.38760000000000006,0.2,0.8043600354343653,20,-0.05648096619697753,0.0003,0.031953216,0.0010837912559509277,0.194482421875,0.32472842931747437,-1.5415077324956656
