snapshot,issue_id,TMS_selected,TMS_severity,TMS_effort,TMS_created,PMS_selected,PMS_severity,PMS_effort,PMS_created
2018-04-01 00:00:00+00:00,AZCZ4oIC51sfoL4w8vab,True,LOW,5.0,2018-03-05 21:18:15,False,,,
2018-04-01 00:00:00+00:00,AZOLYO2D2vcmJlCxpCcb,True,HIGH,15.0,2018-02-03 00:50:07,False,,,
2018-04-01 00:00:00+00:00,AZUWL0pW36iphIe0EWbD,True,INFO,2.0,2018-03-05 21:18:15,False,,,
2018-05-01 00:00:00+00:00,AW0dNVVox-vQs4-GMWet,True,LOW,2.0,2018-03-05 21:18:15,False,,,
2018-05-01 00:00:00+00:00,AW0dNVk3x-vQs4-GMWnG,True,LOW,2.0,2018-04-16 23:40:15,False,,,
2018-05-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5wA,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2018-05-01 00:00:00+00:00,AZCZ4oIC51sfoL4w8vab,True,LOW,5.0,2018-03-05 21:18:15,False,,,
2018-05-01 00:00:00+00:00,AZUWL0pW36iphIe0EWbD,True,INFO,2.0,2018-03-05 21:18:15,False,,,
2018-06-01 00:00:00+00:00,AW-Bxjsiqfb8urW85_vo,True,LOW,5.0,2018-05-31 21:11:35,False,,,
2018-06-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xE,True,HIGH,5.0,2017-06-28 16:52:27,False,,,
2018-06-01 00:00:00+00:00,AZHnpyIJ8YeikcY7eC_a,True,INFO,10.0,2018-05-31 23:18:42,False,,,
2018-06-01 00:00:00+00:00,AZHnpyaH8YeikcY7eC_l,True,LOW,15.0,2018-05-31 23:18:42,False,,,
2018-06-01 00:00:00+00:00,AZHnpyaH8YeikcY7eC_p,True,LOW,15.0,2018-05-31 23:18:42,False,,,
2018-07-01 00:00:00+00:00,AW0dNVBPx-vQs4-GMWTS,True,LOW,2.0,2018-06-27 07:03:12,False,,,
2018-07-01 00:00:00+00:00,AW0dNVYNx-vQs4-GMWfo,True,LOW,5.0,2018-06-27 07:03:12,False,,,
2018-07-01 00:00:00+00:00,AW0dNVYQx-vQs4-GMWfu,True,LOW,5.0,2018-06-27 07:03:12,False,,,
2018-07-01 00:00:00+00:00,AZBbMa7_-vc9aDr8e5wC,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2018-07-01 00:00:00+00:00,AZUWLyHC36iphIe0EWXb,True,INFO,2.0,2018-06-18 19:06:16,False,,,
2018-08-01 00:00:00+00:00,AZBbMXyp-vc9aDr8e5r8,True,HIGH,5.0,2018-07-24 18:06:21,False,,,
2018-08-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tY,True,HIGH,5.0,2018-07-13 19:16:57,False,,,
2018-08-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tZ,True,HIGH,5.0,2018-07-13 19:16:57,False,,,
2018-08-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5wA,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2018-08-01 00:00:00+00:00,AZHYH1D1MUF6mZ7v9qwo,True,LOW,1.0,2018-07-12 22:56:16,False,,,
2018-09-01 00:00:00+00:00,AYegSbZeQrUJwQ4hS6nA,True,INFO,0.0,2018-08-21 17:21:53,False,,,
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tP,True,HIGH,5.0,2018-08-10 06:26:25,False,,,
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tQ,True,HIGH,5.0,2018-08-10 06:26:25,False,,,
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5ta,True,HIGH,5.0,2018-08-10 06:26:25,False,,,
2018-09-01 00:00:00+00:00,AZBbMa7p-vc9aDr8e5v9,True,HIGH,2.0,2018-08-08 20:46:31,False,,,
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sl,True,LOW,10.0,2018-09-24 18:30:54,False,,,
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sm,True,HIGH,5.0,2018-09-24 18:30:54,False,,,
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sn,True,LOW,10.0,2018-09-24 18:30:54,False,,,
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5so,True,LOW,10.0,2018-09-24 18:30:54,False,,,
2018-10-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xJ,True,HIGH,5.0,2017-06-28 16:52:27,False,,,
2018-11-01 00:00:00+00:00,AW0dNVPgx-vQs4-GMWZ_,True,LOW,2.0,2018-10-26 04:15:21,False,,,
2018-11-01 00:00:00+00:00,AZBbMXOE-vc9aDr8e5rG,True,HIGH,2.0,2018-10-25 19:59:50,False,,,
2018-11-01 00:00:00+00:00,AZBbMYPE-vc9aDr8e5sI,True,HIGH,5.0,2018-10-26 04:15:21,False,,,
