time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss
917,1,2,2048,1.0,-0.009999999999999998,,,,,,,,,,
533,2,7,4096,1.0,-0.009999999999999998,0.05923243,10,0.2,-3.828730273246765,0.0003,nan,0.7260061502456665,0.227099609375,0.7174522876739502,0.001946446045527056
510,3,12,6144,1.0,-0.009999999999999998,0.00058401737,20,0.2,-3.7727735601365566,0.0003,nan,0.0,0.0,7.907259916284382e-14,1.1549891902259967e-14
