rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/policy_gradient_loss
4.89,2,2048,-0.13050002000000002,892,1,,,,,,,,,,
4.92,6,4096,-0.10130001999999999,585,2,0.3585459348279983,-0.004067063331604004,0.0003,0.409814453125,-4.301253297924996,0.019066174,0.12267865240573883,0.2,10,-0.03335567443427863
4.91,12,6144,-0.09676672,473,3,0.383646615059115,0.0008857846260070801,0.0003,0.375634765625,-4.283687314391136,0.01854539,0.10844025015830994,0.2,20,-0.030458744029965602
4.89,17,8192,-0.029100029999999995,463,4,0.4042126808781177,-0.0014386177062988281,0.0003,0.394677734375,-4.259351614117622,0.01955307,0.23022222518920898,0.2,30,-0.03498117507842835
4.85,22,10240,-0.12033338,459,5,0.41196099657099694,-0.0004837512969970703,0.0003,0.382421875,-4.242276935279369,0.018530771,0.2104659378528595,0.2,40,-0.030798998633690643
4.77,28,12288,-0.13296671,432,6,0.4321387032046914,0.0007126331329345703,0.0003,0.375439453125,-4.216683274507522,0.019877193,0.13295245170593262,0.2,50,-0.030860948981717228
4.78,32,14336,0.07529993000000004,439,7,0.5193305609282106,-0.00011682510375976562,0.0003,0.408447265625,-4.19114246815443,0.02145883,0.21499589085578918,0.2,60,-0.03280416120251175
4.85,36,16384,0.1323666,447,8,0.5199871134944261,-0.0004489421844482422,0.0003,0.433984375,-4.140006566047669,0.019024376,0.21457591652870178,0.2,70,-0.04039059215865563
