time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss
2048,876,2,1,4.88,-0.025631789999999974,,,,,,,,,,
4096,663,6,2,4.73,-0.10807856999999997,0.023438511,10,0.2,-0.001568436622619629,-0.02698634839252918,0.16915424168109894,0.49701611208729446,0.27705078125,0.0003,-4.0073130771517755
6144,614,9,3,4.76,-0.13784922,0.016575148,20,0.2,-0.003069758415222168,-0.025277982527040877,0.24898283183574677,0.49850479504093526,0.292822265625,0.0003,-3.9951339989900587
8192,592,13,4,4.76,-0.023966720000000007,0.0179479,30,0.2,-0.001256704330444336,-0.0318660255317809,0.17014570534229279,0.6129224925301969,0.342236328125,0.0003,-3.9628356762230394
10240,541,18,5,4.84,0.09939122999999998,0.020825267,40,0.2,-0.0014033317565917969,-0.03254481896292418,0.23955164849758148,0.5435504572466016,0.366845703125,0.0003,-3.9396641194820403
12288,539,22,6,4.83,0.06421105000000002,0.01928728,50,0.2,0.0013640522956848145,-0.033259403237025253,0.17934343218803406,0.6561308293603361,0.359130859375,0.0003,-3.8998665951192377
14336,538,26,7,4.73,0.04315634000000002,0.018913334,60,0.2,-0.00021374225616455078,-0.028305625508073716,0.3327573537826538,0.6853139573242515,0.320556640625,0.0003,-3.888373180478811
16384,521,31,8,4.69,0.18122536000000003,0.01611094,70,0.2,0.00421297550201416,-0.02296163511928171,0.3831407427787781,0.7121293347328901,0.285888671875,0.0003,-3.839776956290007
18432,522,35,9,4.75,0.12354993,0.016751759,80,0.2,0.010432660579681396,-0.02518016764661297,0.2312542200088501,0.7201911783777177,0.30361328125,0.0003,-3.7772185862064362
20480,523,39,10,4.66,0.18761107000000002,0.017894737,90,0.2,0.01932436227798462,-0.027698481299739796,0.3239653408527374,0.7293497116304934,0.3068359375,0.0003,-3.7096531078219415
22528,523,42,11,4.7,0.30684919,0.015811762,100,0.2,0.03955197334289551,-0.020839562863693574,0.45973122119903564,0.8448733802884817,0.248486328125,0.0003,-3.7019327223300933
24576,514,47,12,4.81,0.38727928000000006,0.016695295,110,0.2,0.05794334411621094,-0.025636949129693675,0.4954368472099304,0.7574031754396856,0.247607421875,0.0003,-3.67745605558157
26624,515,51,13,4.77,0.4961333,0.017985664,120,0.2,0.0727192759513855,-0.023333567014196886,0.48544949293136597,0.8760121146216988,0.2318359375,0.0003,-3.6088484056293963
28672,517,55,14,4.74,0.4120230100000001,0.018210456,130,0.2,0.06337636709213257,-0.028772966579708736,0.4291571378707886,0.8511360554024577,0.251220703125,0.0003,-3.5646639235317705
30720,518,59,15,4.75,0.70244524,0.01847922,140,0.2,0.11714929342269897,-0.032079942739801484,0.3222470283508301,0.7486977140419185,0.25966796875,0.0003,-3.5082062765955926
32768,510,64,16,4.74,0.6944142699999999,0.018485028,150,0.2,0.13116854429244995,-0.028720508693368174,0.36482906341552734,0.7466959236189723,0.271240234375,0.0003,-3.3841413758695125
34816,511,68,17,4.82,0.9406420499999999,0.021458846,160,0.2,0.1558670997619629,-0.038110580053762534,0.2724734842777252,0.7670261797495186,0.309423828125,0.0003,-3.15664774030447
36864,511,72,18,4.83,1.1728793,0.022131499,170,0.2,0.24872493743896484,-0.02768424893874908,0.2618580460548401,0.6484645529650152,0.2900390625,0.0003,-3.0540790490806105
38912,507,76,19,4.83,1.11185153,0.017957404,180,0.2,0.34124088287353516,-0.02345157207309967,0.19733338057994843,0.5676528196316213,0.231640625,0.0003,-2.9922703437507154
40960,506,80,20,4.9,1.31289757,0.01885454,190,0.2,0.3373335599899292,-0.024080859929381405,0.24892805516719818,0.5393099657725543,0.272021484375,0.0003,-2.9247787222266197
43008,507,84,21,4.89,1.33536263,0.024544071,200,0.2,0.430990993976593,-0.019201612001052127,0.14461487531661987,0.40668558296747503,0.306689453125,0.0003,-2.873486428707838
45056,508,88,22,4.91,1.4167086599999998,0.020953821,210,0.2,0.46719205379486084,-0.021158354873477947,0.1299934685230255,0.3522917027818039,0.282958984375,0.0003,-2.778758306056261
47104,502,93,23,4.93,1.4058436,0.020516375,220,0.2,0.5062938332557678,-0.016048615411273205,0.10985732078552246,0.3593045884976164,0.2537109375,0.0003,-2.7764596447348593
49152,503,97,24,4.98,1.64211577,0.017200999,230,0.2,0.46282804012298584,-0.022139368674834257,0.1174422949552536,0.3776531490730122,0.271875,0.0003,-2.622470171004534
51200,505,101,25,4.89,1.5679831800000001,0.028132938,240,0.2,0.6012591123580933,-0.01806810613779817,0.10049514472484589,0.25571565923164596,0.307958984375,0.0003,-2.5378878049552442
