time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/learning_rate
1,2,4.72,955,-0.20877702000000006,2048,,,,,,,,,,
2,6,4.84,631,-0.10345958999999999,4096,0.308740234375,10,0.6163009581156075,0.2,-3.7365581072866916,-0.0301579346662038,0.028945781,0.00017768144607543945,0.2712046504020691,0.0003
3,10,4.71,570,-0.21243495999999998,6144,0.298779296875,20,0.6559734131209553,0.2,-3.720108538120985,-0.02890665303420974,0.016710028,-0.011710762977600098,0.14137455821037292,0.0003
4,16,4.7,503,0.008029309999999998,8192,0.30166015625,30,0.6916749005205929,0.2,-3.691060692816973,-0.030474340464570558,0.018007297,-0.0007456541061401367,0.3303084075450897,0.0003
5,20,4.64,496,-0.09356353,10240,0.278271484375,40,0.7717229519039392,0.2,-3.6865882888436317,-0.02523847096163081,0.017862735,0.00878220796585083,0.27339768409729004,0.0003
6,24,4.73,493,0.07377297,12288,0.230224609375,50,0.6999004235491156,0.2,-3.6775077410042285,-0.02143418581690639,0.015725426,0.0028798580169677734,0.4574277102947235,0.0003
7,29,4.65,480,0.0628396,14336,0.294970703125,60,0.7321693093515933,0.2,-3.6549272917211058,-0.028403079626878026,0.01844153,0.004072308540344238,0.22032204270362854,0.0003
8,34,4.72,479,0.13858013000000002,16384,0.232763671875,70,0.8116360055282712,0.2,-3.5989504367113114,-0.024254100331745576,0.017249325,0.01590031385421753,0.3553362786769867,0.0003
