timesteps,mean_reward,month
2048,-1.9073,2017-07
4096,-1.8288,2017-07
6144,-1.4935,2017-07
2048,-1.9453,2017-08
4096,-1.9666,2017-08
6144,-1.7904999999999995,2017-08
2048,-1.9268,2017-09
4096,-1.869,2017-09
6144,-1.6917000000000002,2017-09
2048,-1.985,2017-10
4096,-1.8682000000000003,2017-10
6144,-1.7308999999999997,2017-10
2048,-1.9253,2017-11
4096,-1.7106,2017-11
6144,-1.8316,2017-11
2048,-1.9644,2017-12
4096,-1.9262,2017-12
6144,-1.753,2017-12
2048,-1.9852,2018-01
4096,-1.9467999999999996,2018-01
6144,-1.6334000000000004,2018-01
2048,-1.9052000000000004,2018-02
4096,-1.7695,2018-02
6144,-1.5734,2018-02
2048,-1.8658,2018-03
4096,-1.8887,2018-03
6144,-1.5721,2018-03
2048,-1.9854,2018-04
4096,-1.8502,2018-04
6144,-1.8122000000000005,2018-04
2048,-1.8876,2018-05
4096,-1.8477,2018-05
6144,-1.6723,2018-05
2048,-1.9056,2018-06
4096,-1.8512000000000004,2018-06
6144,-1.6723,2018-06
2048,-1.9842,2018-07
4096,-1.8894,2018-07
6144,-1.6307000000000005,2018-07
2048,-1.9861,2018-08
4096,-1.8496999999999997,2018-08
6144,-1.6338,2018-08
2048,-1.905,2018-09
4096,-1.8684,2018-09
6144,-1.8096,2018-09
2048,-1.9461,2018-10
4096,-1.7691000000000003,2018-10
6144,-1.5729,2018-10
2048,-1.9641,2018-11
4096,-1.7703000000000002,2018-11
6144,-1.5539,2018-11
2048,-2.004,2018-12
4096,-1.8094,2018-12
6144,-1.6910000000000005,2018-12
2048,-1.9461,2019-01
4096,-1.849,2019-01
6144,-1.6134,2019-01
2048,-1.9864,2019-02
4096,-1.8282,2019-02
6144,-1.7518,2019-02
2048,-1.9844,2019-03
4096,-1.8479,2019-03
6144,-1.5944,2019-03
2048,-1.9645,2019-04
4096,-1.9071,2019-04
6144,-1.6918999999999995,2019-04
2048,-1.9273,2019-05
4096,-1.9266,2019-05
6144,-1.5540000000000005,2019-05
2048,-1.9067,2019-06
4096,-1.9083,2019-06
6144,-1.3763,2019-06
2048,-1.9635,2019-07
4096,-1.9082,2019-07
6144,-1.5919000000000003,2019-07
