time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,3.41,890,2,1,-2.0042000000000004,,,,,,,,,,
4096,3.64,544,7,2,-1.9269000000000003,0.03825032338500023,10,0.2,0.0003,0.22847369791707023,-0.08604466915130615,0.01762595,-1.6015070766210555,0.128369140625,-0.0302896192719345
6144,4.24,527,11,3,-1.5548,0.09778863936662674,20,0.2,0.0003,0.28581829415634274,-0.0010061264038085938,0.022947758,-1.5531651619821787,0.2349609375,-0.035717749121249656
8192,4.35,519,15,4,-1.3370000000000002,0.2635841369628906,30,0.2,0.0003,0.6049874584190548,0.02300262451171875,0.023839165,-1.4736682184040546,0.25673828125,-0.05040138944168575
10240,4.5,485,21,5,-1.0201000000000002,0.31459546089172363,40,0.2,0.0003,0.7450663309544325,0.013489365577697754,0.022243232,-1.3668677862733603,0.23330078125,-0.048866256279870866
12288,4.82,485,25,6,-0.5655999999999998,0.3245847225189209,50,0.2,0.0003,0.7594775304198265,0.023055851459503174,0.028454624,-1.2442187152802944,0.199951171875,-0.04620393680233974
14336,4.91,485,29,7,-0.26799999999999996,0.22804556787014008,60,0.2,0.0003,0.5576706524007022,0.0009757876396179199,0.012655255,-1.1305416516959668,0.108544921875,-0.025936780290794558
16384,4.93,473,34,8,-0.18859999999999996,0.11432695388793945,70,0.2,0.0003,0.39272482609376314,-0.0006861686706542969,0.012041928,-1.0644284354522824,0.13134765625,-0.022317777173884678
