time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss
955,1,2,2048,1.0,-0.009999999999999998,,,,,,,,,,
668,2,6,4096,1.0,-0.009999999999999998,0.0,10,0.2,-1.6094330549240112,0.0003,-15.0,0.0,0.0,1.9125326322644298e-16,3.478743998028211e-05
572,3,10,6144,1.0,-0.009999999999999998,0.0,20,0.2,-1.6094330549240112,0.0003,nan,0.0,0.0,4.336808689942018e-19,1.7074828963931088e-16
