snapshot,issue_id,reward,severity,effort_minutes,created_at
2018-04-01 00:00:00+00:00,AZCZ4oIC51sfoL4w8vab,1.6666666666666667,LOW,5,2018-03-05 21:18:15
2018-04-01 00:00:00+00:00,AZUWL0pW36iphIe0EWbD,0.8666666666666667,INFO,2,2018-03-05 21:18:15
2018-05-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xI,7.666666666666667,HIGH,5,2017-06-28 16:52:27
2018-05-01 00:00:00+00:00,AW0dNVk3x-vQs4-GMWnG,1.8666666666666667,LOW,2,2018-04-16 23:40:15
2018-05-01 00:00:00+00:00,AW0dNVVox-vQs4-GMWet,1.8666666666666667,LOW,2,2018-03-05 21:18:15
2018-05-01 00:00:00+00:00,AZCZ4oIC51sfoL4w8vab,1.6666666666666667,LOW,5,2018-03-05 21:18:15
2018-05-01 00:00:00+00:00,AZUWL0pW36iphIe0EWbD,0.8666666666666667,INFO,2,2018-03-05 21:18:15
2018-06-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xH,7.666666666666667,HIGH,5,2017-06-28 16:52:27
2018-06-01 00:00:00+00:00,AW-Bxjsiqfb8urW85_vo,1.6666666666666667,LOW,5,2018-05-31 21:11:35
2018-06-01 00:00:00+00:00,AZHnpyaH8YeikcY7eC_l,1.0,LOW,15,2018-05-31 23:18:42
2018-06-01 00:00:00+00:00,AZHnpyaH8YeikcY7eC_p,1.0,LOW,15,2018-05-31 23:18:42
2018-06-01 00:00:00+00:00,AZHnpyIJ8YeikcY7eC_a,0.33333333333333337,INFO,10,2018-05-31 23:18:42
2018-07-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v_,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2018-07-01 00:00:00+00:00,AW0dNVBPx-vQs4-GMWTS,1.8666666666666667,LOW,2,2018-06-27 07:03:12
2018-07-01 00:00:00+00:00,AW0dNVYNx-vQs4-GMWfo,1.6666666666666667,LOW,5,2018-06-27 07:03:12
2018-07-01 00:00:00+00:00,AW0dNVYQx-vQs4-GMWfu,1.6666666666666667,LOW,5,2018-06-27 07:03:12
2018-07-01 00:00:00+00:00,AZUWLyHC36iphIe0EWXb,0.8666666666666667,INFO,2,2018-06-18 19:06:16
2018-08-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xH,7.666666666666667,HIGH,5,2017-06-28 16:52:27
2018-08-01 00:00:00+00:00,AZBbMXyp-vc9aDr8e5r8,7.666666666666667,HIGH,5,2018-07-24 18:06:21
2018-08-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tY,7.666666666666667,HIGH,5,2018-07-13 19:16:57
2018-08-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tZ,7.666666666666667,HIGH,5,2018-07-13 19:16:57
2018-08-01 00:00:00+00:00,AZHYH1D1MUF6mZ7v9qwo,1.9333333333333333,LOW,1,2018-07-12 22:56:16
2018-09-01 00:00:00+00:00,AZBbMXOD-vc9aDr8e5rC,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tP,7.666666666666667,HIGH,5,2018-08-10 06:26:25
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tQ,7.666666666666667,HIGH,5,2018-08-10 06:26:25
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5ta,7.666666666666667,HIGH,5,2018-08-10 06:26:25
2018-09-01 00:00:00+00:00,AYegSbZeQrUJwQ4hS6nA,1.0,INFO,0,2018-08-21 17:21:53
