timesteps,mean_reward
2048,14.419333279999996
4096,16.115333290000002
6144,18.068666600000004
2048,15.22666657
4096,18.08333323
6144,19.38733328
2048,15.27066661
4096,17.43533322
6144,18.720666590000004
2048,14.02733329
4096,16.9673333
6144,21.111999850000004
2048,14.554666620000004
4096,18.72999991
6144,19.07799994
2048,14.53466662
4096,17.03666657
6144,20.27933324
2048,13.625999979999996
4096,17.369999890000003
6144,17.8459999
2048,13.887999919999997
4096,15.985333249999998
6144,18.50999987
2048,15.99599987
4096,17.176666580000003
6144,19.00266661
2048,14.167333299999996
4096,16.01999996
6144,20.57933323
2048,13.32399995
4096,16.29466661
6144,18.742666600000003
2048,12.45199989
4096,15.98066659
6144,19.04399996
2048,11.479999930000004
4096,14.1713333
6144,16.514666539999997
2048,11.851333269999998
4096,14.748666589999996
6144,16.928666610000004
2048,12.88933327
4096,17.277333239999997
6144,18.22533324
2048,13.90933325
4096,16.130666599999998
6144,17.443333220000003
2048,14.133333220000004
4096,16.88999996
6144,19.10199989
2048,13.915999929999998
4096,17.334666549999998
6144,19.31333325
2048,13.62799993
4096,15.209999939999998
6144,18.94199989
2048,12.76133325
4096,14.67333326
6144,17.77999988
2048,13.43199995
4096,17.8273332
6144,18.87266652
2048,12.750666549999998
4096,16.222666559999997
6144,18.51533325
2048,13.32533328
4096,16.288666539999998
6144,18.23066658
2048,13.423999909999996
4096,14.595999900000002
6144,18.37533326
2048,13.52133326
4096,15.71399992
6144,19.2319999
2048,12.741999949999997
4096,16.25799994
6144,19.09799984
2048,12.321333269999998
4096,17.835333259999995
6144,18.90599992
2048,13.6019999
4096,15.983333219999995
6144,19.12199991
2048,14.047999909999998
4096,15.86866656
6144,18.28466658
2048,13.284666619999998
4096,16.503333289999997
6144,17.62333324
2048,14.845333300000002
4096,15.95866664
6144,17.74333321
2048,13.90999984
4096,15.66399989
6144,18.795999880000004
2048,12.80399991
4096,16.59999991
6144,18.57666657
2048,14.785333239999998
4096,15.33866662
6144,17.747333259999998
2048,14.43466655
4096,14.51733333
6144,18.12999993
2048,14.30333332
4096,16.646666569999997
6144,18.51733326
2048,12.915999859999998
4096,17.42933325
6144,18.491333250000004
2048,13.335999910000004
4096,15.65199995
6144,17.221999909999997
2048,14.47066661
4096,15.84933329
6144,18.46733319
2048,14.5845
4096,16.261499999999998
6144,18.191000000000003
2048,13.104
4096,15.431999999999997
6144,17.6775
2048,13.5165
4096,15.163999999999998
6144,16.554
2048,13.803999999999998
4096,16.092
6144,17.797000000000004
2048,14.174
4096,15.193500000000002
6144,18.513
2048,13.469
4096,15.691499999999998
6144,18.3395
2048,14.096000000000002
4096,16.05
6144,17.8165
2048,13.022
4096,15.784
6144,18.497
2048,14.4285
4096,15.770000000000003
6144,17.1765
2048,13.136
4096,16.0205
6144,18.715
2048,13.363
4096,15.556
6144,16.6655
2048,14.317499999999995
4096,16.090999999999998
6144,17.26
2048,12.888999999999996
4096,14.893999999999998
6144,17.3185
2048,14.113999999999995
4096,14.703500000000002
6144,16.615500000000004
2048,14.018
4096,15.4455
6144,16.859499999999997
2048,12.9095
4096,15.272
6144,16.497
2048,13.9065
4096,14.437500000000002
6144,17.775
2048,13.582
4096,15.2125
6144,16.5995
2048,13.331499999999998
4096,15.280500000000002
6144,17.3255
2048,13.1165
4096,14.0605
6144,16.747
2048,13.282
4096,15.2895
6144,16.839999999999996
2048,13.518000000000002
4096,14.876
6144,17.7315
2048,12.170500000000002
4096,14.5765
6144,17.66
2048,13.5065
4096,13.8695
6144,16.942999999999998
2048,13.007999999999996
4096,14.9705
6144,16.7545
2048,13.4025
4096,14.6925
6144,15.763
2048,12.8015
4096,14.377999999999997
6144,16.5305
2048,13.8825
4096,15.3245
6144,17.964499999999997
2048,12.9015
4096,13.9655
6144,17.2085
2048,13.073
4096,13.7085
6144,14.951999999999998
2048,12.762000000000002
4096,15.161
6144,17.323
2048,13.752999999999997
4096,15.624999999999998
6144,17.3375
2048,12.9825
4096,15.401000000000002
6144,15.33
2048,12.2395
4096,14.707499999999998
6144,17.0105
2048,12.799
4096,14.614
6144,16.369
2048,13.281999999999998
4096,13.176000000000002
6144,15.781499999999996
2048,11.751499999999998
4096,14.4715
6144,15.657
2048,13.328
4096,13.410500000000004
6144,15.425000000000002
2048,11.848999999999998
4096,13.487499999999995
6144,16.522000000000002
2048,13.385
4096,13.9695
6144,16.308
2048,12.7455
4096,13.218500000000004
6144,16.955
2048,13.395
4096,13.595999999999997
6144,14.604499999999998
2048,13.3155
4096,13.303999999999998
6144,15.737499999999995
2048,12.3145
4096,14.107499999999998
6144,15.116499999999997
2048,12.088999999999997
4096,13.9555
6144,14.927499999999998
2048,12.656
4096,13.7335
6144,14.389499999999998
2048,12.662499999999998
4096,12.567499999999995
6144,15.4675
2048,15.0125
4096,17.656000000000002
6144,16.855
2048,13.767
4096,15.4835
6144,16.994500000000002
2048,15.078
4096,13.4405
6144,15.446999999999996
2048,12.549500000000002
4096,14.772
6144,16.238
2048,11.902
4096,13.5
6144,15.189
2048,12.64
4096,13.485000000000005
6144,14.5055
2048,11.415000000000004
4096,13.056500000000002
6144,14.344499999999998
2048,12.28496289
4096,15.300148119999996
6144,16.685629589999998
2048,14.176666660000002
4096,13.942222190000004
6144,15.97859252
2048,14.158592569999996
4096,14.627333310000004
6144,14.42740738
2048,14.294148130000002
4096,14.60881478
6144,15.17844443
2048,14.106444430000002
4096,14.645333309999998
6144,16.148962909999998
2048,13.92037029
4096,14.672740729999996
6144,15.533777780000005
