time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss
2048,1027,1,1,4.92,-0.07537302999999998,,,,,,,,,,
4096,674,6,2,4.87,-0.07594763999999998,0.021341756,10,0.2,-0.006193995475769043,-0.035031562195217705,0.24198247492313385,0.3793568240478635,0.44462890625,0.0003,-4.493670520186424
6144,550,11,3,4.9,-0.06299685,0.020770894,20,0.2,0.0009886622428894043,-0.03485523951021605,0.14815548062324524,0.3269703912548721,0.45390625,0.0003,-4.4736490324139595
8192,534,15,4,4.86,-0.09507065,0.020055957,30,0.2,-0.0005573034286499023,-0.03654598809662275,0.06056061387062073,0.32553540903609246,0.431884765625,0.0003,-4.452792316675186
10240,525,19,5,4.77,-0.08953017999999999,0.020106282,40,0.2,-3.504753112792969e-05,-0.030884701549075542,0.13694080710411072,0.35553968786261975,0.40791015625,0.0003,-4.434459297358989
12288,507,24,6,4.97,0.16709125,0.02032857,50,0.2,0.00025916099548339844,-0.0348686397774145,0.1301637887954712,0.41177776716649533,0.398095703125,0.0003,-4.410659641027451
14336,505,28,7,4.9,0.17601982,0.020124605,60,0.2,0.00014251470565795898,-0.034788940494763665,0.14173907041549683,0.35807385478401554,0.404248046875,0.0003,-4.381833373010158
16384,504,32,8,4.92,0.28417777000000005,0.019349163,70,0.2,2.3603439331054688e-05,-0.03546737685392145,0.14505180716514587,0.48509499612264334,0.4046875,0.0003,-4.337143689393997
18432,503,36,9,4.81,0.17155630000000005,0.019430315,80,0.2,0.00015676021575927734,-0.03687577663258708,0.2074308693408966,0.4653081739321351,0.417822265625,0.0003,-4.289151045680046
20480,491,41,10,4.85,0.17548803999999996,0.018782783,90,0.2,0.0006744265556335449,-0.03279187062798883,0.28177180886268616,0.557067088317126,0.352490234375,0.0003,-4.243997058272361
22528,491,45,11,4.83,0.17093803000000002,0.020040307,100,0.2,0.0015312433242797852,-0.03244843152060639,0.33932849764823914,0.645626374706626,0.380810546875,0.0003,-4.230497482419014
24576,492,49,12,4.78,0.11415074000000003,0.018929387,110,0.2,0.014864742755889893,-0.02418336391710909,0.44272640347480774,0.5868968784343451,0.30634765625,0.0003,-4.214170384407043
26624,485,54,13,4.72,0.13303007000000006,0.018090073,120,0.2,0.06726306676864624,-0.02718963730148971,0.4148208200931549,0.6664966911077499,0.296337890625,0.0003,-4.127798077464104
28672,484,59,14,4.71,0.21560391000000004,0.017730497,130,0.2,0.07335561513900757,-0.021265576680889353,0.33683088421821594,0.739271298609674,0.24794921875,0.0003,-4.083130602538586
30720,485,63,15,4.7,0.28378327000000003,0.015460102,140,0.2,0.0858607292175293,-0.02308211369381752,0.3981481194496155,0.8023193836212158,0.267041015625,0.0003,-4.068251314759254
32768,485,67,16,4.79,0.35236579999999995,0.015562834,150,0.2,0.0900542140007019,-0.020563240992487408,0.32705628871917725,0.6435648781247437,0.2484375,0.0003,-4.009995048493147
34816,479,72,17,4.75,0.36192456,0.015095143,160,0.2,0.08325636386871338,-0.014773025122121908,0.2856671214103699,0.6633102409541607,0.218701171875,0.0003,-4.075311629474163
36864,480,76,18,4.77,0.49091026,0.018804766,170,0.2,0.08022725582122803,-0.03100627446256112,0.37298908829689026,0.6905037789605558,0.258984375,0.0003,-3.997679053246975
38912,480,80,19,4.8,0.6667118400000001,0.017850423,180,0.2,0.12747043371200562,-0.03296861099952366,0.27156558632850647,0.6871396719478071,0.272119140625,0.0003,-3.9092989310622217
40960,475,86,20,4.76,0.70265075,0.020231957,190,0.2,0.14990615844726562,-0.03853348612174159,0.31753331422805786,0.6972591585014015,0.30478515625,0.0003,-3.811023112386465
43008,477,90,21,4.77,0.7508650299999999,0.019501165,200,0.2,0.22055596113204956,-0.03323320794443134,0.35017111897468567,0.6393969529308379,0.305224609375,0.0003,-3.8279726825654508
45056,478,94,22,4.77,0.6996150500000001,0.01968867,210,0.2,0.2484995722770691,-0.03465494185802527,0.15316341817378998,0.5006933198310435,0.3181640625,0.0003,-3.6923828892409802
47104,475,98,23,4.88,0.7932015500000001,0.024851564,220,0.2,0.28056561946868896,-0.02674572773539694,0.23967157304286957,0.4976415671873838,0.333447265625,0.0003,-3.63878787830472
49152,476,103,24,4.9,0.87961106,0.021008734,230,0.2,0.24895238876342773,-0.028070142137585206,0.2928159534931183,0.5102883632294833,0.35439453125,0.0003,-3.6180928625166415
51200,477,107,25,4.82,0.8807245599999999,0.021610342,240,0.2,0.3226577043533325,-0.0264451339666266,0.11801117658615112,0.4342114761471748,0.34541015625,0.0003,-3.608278766274452
