time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
1,2048,1,1164,3.47,-1.9849,,,,,,,,,,
5,4096,2,809,3.71,-1.8679,-0.028693407887476496,0.2,-0.12272489070892334,0.0003,10,0.019749353,0.008141428232192993,-1.5994305822998285,0.216922071488807,0.16953125
8,6144,3,734,3.97,-1.7510999999999997,-0.0315169582143426,0.2,-0.013499975204467773,0.0003,20,0.019672474,0.10810303688049316,-1.557879825681448,0.27535099766682836,0.195556640625
11,8192,4,704,4.5,-1.4379999999999997,-0.0499035277083749,0.2,0.027975261211395264,0.0003,30,0.026667144,0.19959941506385803,-1.4745917923748493,0.5568965426646173,0.265087890625
14,10240,5,686,4.58,-1.001,-0.04914798144018277,0.2,0.027588248252868652,0.0003,40,0.022257831,0.30941256880760193,-1.3562335137277841,0.7224570797756314,0.2513671875
18,12288,6,674,4.84,-0.4662999999999999,-0.04608832331141457,0.2,0.024273276329040527,0.0003,50,0.029637842,0.3179788589477539,-1.2407935541123152,0.757783561386168,0.199609375
21,14336,7,666,4.77,-0.44569999999999993,-0.029247923946240918,0.2,-0.01821589469909668,0.0003,60,0.015470713,0.3173872232437134,-1.1240232240408659,0.584966865554452,0.143408203125
24,16384,8,659,4.82,-0.3466999999999998,-0.02195780841866508,0.2,-0.008779048919677734,0.0003,70,0.012073541,0.21758049726486206,-1.062230970710516,0.404900458548218,0.150146484375
28,18432,9,655,4.91,-0.22820000000000001,-0.01955535323068034,0.2,-0.0019390583038330078,0.0003,80,0.014066426,0.14927135407924652,-1.0158448498696089,0.2944409296615049,0.127392578125
31,20480,10,651,4.98,-0.10949999999999999,-0.013844820379745215,0.2,-0.0004169940948486328,0.0003,90,0.010840926,0.07256830483675003,-0.9791650796309114,0.1919046086113667,0.137548828125
34,22528,11,649,4.95,-0.1291,-0.012075998373620677,0.2,-6.759166717529297e-05,0.0003,100,0.010713983,0.07889240980148315,-0.9499157298356294,0.14065804967758594,0.16474609375
38,24576,12,646,4.98,-0.1294,-0.008523438138945494,0.2,0.0006530284881591797,0.0003,110,0.008115671,0.011876930482685566,-0.9309721034020185,0.08023309792788495,0.130322265625
41,26624,13,642,4.95,-0.18879999999999997,-0.012522627247381023,0.2,0.00022208690643310547,0.0003,120,0.015432548,0.039798736572265625,-0.914191665686667,0.07384380048351886,0.201416015625
44,28672,14,641,4.99,-0.06979999999999997,-0.007335400916053914,0.2,-0.005441784858703613,0.0003,130,0.011565106,0.07032659649848938,-0.9184377197176218,0.09116409500038572,0.159814453125
47,30720,15,640,5.0,-0.06989999999999996,-0.007114164822269231,0.2,0.0069501399993896484,0.0003,140,0.008393025,-0.0018483266467228532,-0.9129170652478933,0.058184078844760734,0.18291015625
51,32768,16,639,4.96,-0.1093,-0.006347542892035563,0.2,0.0030956268310546875,0.0003,150,0.011875521,0.004572909325361252,-0.8699582885950804,0.02803706450538357,0.203125
54,34816,17,638,4.99,-0.06979999999999999,-0.007876332610612735,0.2,0.010771989822387695,0.0003,160,0.012373554,0.004018979147076607,-0.8699957029893994,0.038255691650783775,0.18720703125
57,36864,18,637,4.99,-0.0897,-0.006426621494756546,0.2,0.0029921531677246094,0.0003,170,0.011306671,-0.02112942561507225,-0.8983975199982523,0.050461467529703444,0.170361328125
61,38912,19,636,4.99,-0.0897,-0.007138066170591628,0.2,0.006712436676025391,0.0003,180,0.012826083,0.03122713975608349,-0.9029539942741394,0.05547348093691653,0.20224609375
64,40960,20,636,4.97,-0.06959999999999997,-0.008469479149789549,0.2,-0.004771709442138672,0.0003,190,0.017392075,-0.0062074605375528336,-0.9012726144865155,0.03202157914129202,0.215478515625
67,43008,21,635,5.0,-0.04999999999999999,-0.007929530163528398,0.2,0.012103736400604248,0.0003,200,0.011976898,0.016076941043138504,-0.8959947034716607,0.017762720591269952,0.168212890625
70,45056,22,635,4.98,-0.10950000000000001,-0.009398510357277701,0.2,0.679935097694397,0.0003,210,0.018314607,-0.024097314104437828,-0.8545136202126742,3.0070070079091237e-05,0.263427734375
74,47104,23,634,4.98,-0.08960000000000001,-0.006281292079074774,0.2,0.007705748081207275,0.0003,220,0.009257202,0.02577243186533451,-0.8623526114970446,0.04078402136311752,0.183642578125
77,49152,24,634,5.0,-0.06989999999999999,-0.006253364549775142,0.2,-0.004570484161376953,0.0003,230,0.0107535925,0.005244704429060221,-0.8680653102695942,0.03597656069509867,0.193994140625
80,51200,25,633,5.0,-0.04999999999999999,-0.007111905625788495,0.2,7.18832015991211e-05,0.0003,240,0.011269875,-0.0018837337847799063,-0.8436083935201169,0.028319852465574512,0.145703125
