time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss
989,4.92,-0.22483335000000002,1,2048,2,,,,,,,,,,
639,4.79,-0.22313335999999995,2,4096,6,0.44072265625,0.019606419,0.3205427890527062,10,0.2,0.15550176799297333,-0.03557264349365141,-0.007303476333618164,0.0003,-4.482742933928966
563,4.89,-0.22766667999999995,3,6144,10,0.49814453125,0.02148152,0.30507100832182915,20,0.2,0.14385268092155457,-0.040145806885266214,-0.00029289722442626953,0.0003,-4.457958397269249
501,4.92,-0.003633369999999987,4,8192,16,0.434033203125,0.020326901,0.3762450787005946,30,0.2,0.2402094155550003,-0.036016171285154996,-9.489059448242188e-05,0.0003,-4.43339916318655
488,4.81,-0.11683336999999996,5,10240,20,0.443017578125,0.020898942,0.28623152947984637,40,0.2,0.11095306277275085,-0.03354646986990702,0.0006210207939147949,0.0003,-4.415205663442611
484,4.87,-0.0943667,6,12288,25,0.414599609375,0.019260498,0.35389246109407396,50,0.2,0.19448667764663696,-0.031247739569516854,0.0004646778106689453,0.0003,-4.399651211500168
475,4.86,0.004166610000000018,7,14336,30,0.395751953125,0.018237542,0.4750499125570059,60,0.2,0.18531860411167145,-0.032248676838935356,0.0001755356788635254,0.0003,-4.371536122262478
473,4.82,0.010299900000000006,8,16384,34,0.356689453125,0.018632194,0.41711177774704994,70,0.2,0.2634246349334717,-0.029525867337360977,0.0013241171836853027,0.0003,-4.336441957950592
470,4.76,-0.006166719999999926,9,18432,39,0.40048828125,0.019882686,0.476053363410756,80,0.2,0.18922226130962372,-0.03567586300778203,0.0011597871780395508,0.0003,-4.319809257984161
460,4.93,0.13273327,10,20480,44,0.36953125,0.018399019,0.5612581317313016,90,0.2,0.23279961943626404,-0.030118160449637797,0.0020409226417541504,0.0003,-4.28910228908062
461,4.71,-0.05230005,11,22528,48,0.3603515625,0.018773865,0.5356584851630032,100,0.2,0.1350385546684265,-0.030426808207994326,0.009346365928649902,0.0003,-4.257748237252235
462,4.8,0.09799993000000003,12,24576,53,0.298974609375,0.018293649,0.6674221597611905,110,0.2,0.3573575019836426,-0.02679597557144007,0.020472168922424316,0.0003,-4.19870622754097
457,4.71,0.16046661,13,26624,58,0.325830078125,0.019129802,0.5334299180656672,120,0.2,0.24549083411693573,-0.027138730739534368,0.045875728130340576,0.0003,-4.196169048547745
458,4.75,0.21216658000000002,14,28672,62,0.2306640625,0.01767861,0.6593559816479683,130,0.2,0.3276251554489136,-0.019167417719290824,0.0370977520942688,0.0003,-4.17744774967432
458,4.65,0.30396660000000003,15,30720,66,0.284912109375,0.018649407,0.6941877975128591,140,0.2,0.3460230827331543,-0.02681829503562767,0.07971274852752686,0.0003,-4.013390434533358
458,4.67,0.43336662000000004,16,32768,71,0.30322265625,0.018644992,0.6717810382135212,150,0.2,0.25136271119117737,-0.031052188454486894,0.11152607202529907,0.0003,-3.992717919498682
453,4.45,0.13753329000000006,17,34816,76,0.227978515625,0.016854137,0.6488824337720871,160,0.2,0.2880682647228241,-0.02998451430321438,0.13353782892227173,0.0003,-3.8856358870863916
453,4.74,0.64473327,18,36864,81,0.32861328125,0.020056684,0.7109447080641985,170,0.2,0.2929525375366211,-0.042685889605490954,0.1290069818496704,0.0003,-3.8424260303378106
454,4.91,0.76796658,19,38912,85,0.309423828125,0.020511255,0.5135875892359764,180,0.2,0.14928695559501648,-0.03945595592231257,0.18831050395965576,0.0003,-3.7203810274600984
451,4.77,0.7219332599999997,20,40960,90,0.329638671875,0.020424254,0.6320409724488855,190,0.2,0.2948669195175171,-0.03519367222033907,0.2011774182319641,0.0003,-3.6929515562951565
453,4.81,0.8165665400000001,21,43008,94,0.336669921875,0.019632017,0.4932036569342017,200,0.2,0.17070160806179047,-0.03262730127898976,0.25241905450820923,0.0003,-3.6489263705909254
454,4.88,0.9760332599999999,22,45056,99,0.30302734375,0.01933648,0.43796441205777226,210,0.2,0.1547832041978836,-0.0212655112016364,0.34829461574554443,0.0003,-3.647964992374182
450,4.92,0.9382665899999999,23,47104,104,0.334228515625,0.019433906,0.4358401322271675,220,0.2,0.10371460020542145,-0.025139003567164763,0.31113409996032715,0.0003,-3.659440465271473
450,4.85,0.96753322,24,49152,109,0.3232421875,0.02086072,0.3824033089913428,230,0.2,0.1289588063955307,-0.023619393073022365,0.3602713942527771,0.0003,-3.627533935010433
450,4.94,1.1107332399999998,25,51200,113,0.30654296875,0.025700353,0.3544830097584054,240,0.2,0.19040822982788086,-0.017391718832368497,0.36445093154907227,0.0003,-3.5364170551300047
