time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss
951,1,2,2048,1.0,-0.009999999999999998,,,,,,,,,,
662,2,6,4096,1.0,-0.009999999999999998,0.0,10,0.2,-2.079435348510742,0.0003,nan,0.0,0.0,3.400058012914542e-16,0.0038422775738955577
561,3,10,6144,1.0,-0.009999999999999998,0.0,20,0.2,-2.079435348510742,0.0003,nan,0.0,0.0,8.500145032286355e-17,4.843347944927245e-16
