time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss
2048,1129,1,1,4.24,-0.3955333399999999,,,,,,,,,,
4096,795,5,2,4.35,-0.40416664999999996,0.014614859,10,0.2,-0.01499032974243164,-0.02768737528240308,0.4947500228881836,1.2869860798120498,0.166015625,0.0003,-2.626328570395708
6144,725,8,3,4.21,-0.40153338000000005,0.013353208,20,0.2,-0.012285232543945312,-0.031937198850209826,0.5852499008178711,1.2533685240894556,0.1943359375,0.0003,-2.6023860283195974
8192,693,11,4,4.3,-0.06920003999999999,0.012518977,30,0.2,0.0005702376365661621,-0.031475503546243996,0.530351459980011,1.2148377541452646,0.1353515625,0.0003,-2.5696900129318236
10240,676,15,5,4.52,0.36136668,0.015973384,40,0.2,0.022310912609100342,-0.040403206716291606,0.6002092361450195,1.2617579758167268,0.20283203125,0.0003,-2.5133100748062134
12288,665,18,6,4.58,0.3117666300000001,0.017195005,50,0.2,0.031208693981170654,-0.040423916981671935,0.5477562546730042,1.2138396628201007,0.217626953125,0.0003,-2.4485085137188434
14336,657,21,7,4.86,1.0008332700000002,0.016707122,60,0.2,0.08132916688919067,-0.040215264627477154,0.5547175407409668,1.1170542825013399,0.243798828125,0.0003,-2.3331607043743134
16384,651,25,8,4.87,1.25153331,0.01590067,70,0.2,0.13191843032836914,-0.03511845379543956,0.3466266691684723,0.9971390541642904,0.27294921875,0.0003,-2.2491053588688374
18432,647,28,9,4.93,1.4108332300000002,0.019025907,80,0.2,0.20899659395217896,-0.03272462338063633,0.41659849882125854,0.8402391075156629,0.304931640625,0.0003,-2.1357619136571886
20480,643,31,10,4.91,1.5220998799999998,0.01734289,90,0.2,0.2913430333137512,-0.031298013591731434,0.36398759484291077,0.6812842503190041,0.2953125,0.0003,-1.9854660600423812
22528,640,35,11,4.96,1.7632998899999999,0.019849934,100,0.2,0.3596242666244507,-0.030697071432950907,0.33996114134788513,0.5934792754705995,0.283349609375,0.0003,-1.8563127752393485
24576,637,38,12,4.95,1.7975999399999998,0.016094174,110,0.2,0.4641772508621216,-0.02306234287752886,0.1268778294324875,0.4431661530863494,0.280029296875,0.0003,-1.7215778812766076
26624,635,41,13,4.96,1.8037998999999996,0.022059586,120,0.2,0.5454500317573547,-0.024242837165365926,0.13924384117126465,0.35484191512223334,0.307080078125,0.0003,-1.6034675680100918
28672,633,45,14,4.98,1.9773998099999996,0.022691786,130,0.2,0.6321946978569031,-0.02372127650742186,0.0721694752573967,0.25625659140059726,0.330029296875,0.0003,-1.4501261688768863
30720,631,48,15,4.93,2.1398664899999997,0.023202892,140,0.2,0.6048011779785156,-0.01953258848952828,0.078391432762146,0.30786833551246673,0.238720703125,0.0003,-1.2686868853867055
32768,628,52,16,4.99,2.1926664499999995,0.023494404,150,0.2,0.7880301475524902,-0.013655770586046856,0.0776149332523346,0.1277167005900992,0.316845703125,0.0003,-1.1536479331552982
34816,623,55,17,4.97,2.18823308,0.017881935,160,0.2,0.7433043718338013,-0.007438157148135361,0.038774069398641586,0.17979858293983852,0.2533203125,0.0003,-1.1116000190377235
36864,618,59,18,4.99,2.1759330699999997,0.027187217,170,0.2,0.8083882331848145,-0.009253567783161998,0.050251372158527374,0.12308872567737125,0.217626953125,0.0003,-0.9962982941418886
38912,614,63,19,5.0,2.2335663699999997,0.031742077,180,0.2,0.8367017507553101,-0.008985696317540714,0.08179730176925659,0.10777823851858556,0.27099609375,0.0003,-0.8954621007665992
40960,611,67,20,5.0,2.2475996899999995,0.041047387,190,0.2,0.9591796398162842,-0.014920617137977387,0.01913721114397049,0.02311654583345444,0.29931640625,0.0003,-0.8370750866830349
43008,600,71,21,4.95,2.1647996799999993,0.012463229,200,0.2,0.7600067257881165,-0.010488860541227042,-0.029008392244577408,0.15559291777917678,0.1755859375,0.0003,-0.8137511508539319
45056,598,75,22,5.0,2.2520330099999994,0.023109399,210,0.2,0.8231003284454346,-0.010195325841777958,0.041151463985443115,0.11048203752125119,0.203564453125,0.0003,-0.6993917159736156
47104,596,78,23,4.98,2.2331663399999995,0.018768635,220,0.2,0.8068519234657288,-0.006146742132841609,0.033580802381038666,0.12504584767011692,0.172314453125,0.0003,-0.6804530572146177
49152,594,82,24,4.98,2.249466349999999,0.06532699,230,0.2,0.868912935256958,-0.0031431172668817454,0.01211269199848175,0.08059280006350492,0.178955078125,0.0003,-0.6661617139354348
51200,588,87,25,4.96,2.221899679999999,0.018929668,240,0.2,0.9245882034301758,-0.00479639419936575,0.023562874644994736,0.043643973519283466,0.16240234375,0.0003,-0.5611274304799736
