time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,3.71,968,2,1,-1.8878,,,,,,,,,,
4096,4.0,564,7,2,-1.7912000000000001,0.06273999810218811,10,0.2,0.0003,0.20032355487637687,-0.12108826637268066,0.01831044,-1.6012811850756408,0.116943359375,-0.02588822537509259
6144,4.13,544,11,3,-1.6134000000000004,0.14106711745262146,20,0.2,0.0003,0.355100488034077,0.005527019500732422,0.023289159,-1.5568692293018103,0.220751953125,-0.0405805115646217
8192,4.39,536,15,4,-1.4169999999999996,0.1506923884153366,30,0.2,0.0003,0.5134614543057978,0.016806960105895996,0.023463618,-1.4792523261159658,0.261865234375,-0.048153143408126195
10240,4.51,501,20,5,-1.1794,0.2921549379825592,40,0.2,0.0003,0.7269120244309306,0.028843224048614502,0.023960147,-1.3688618540763855,0.234423828125,-0.049411564355250445
12288,4.77,500,24,6,-0.6646,0.38543739914894104,50,0.2,0.0003,0.7572748148813844,0.02564096450805664,0.026093405,-1.2497990518808364,0.167578125,-0.041309608294977804
14336,4.88,503,28,7,-0.42689999999999984,0.25258612632751465,60,0.2,0.0003,0.5865871374495327,0.012732625007629395,0.014163148,-1.1416081149131059,0.124658203125,-0.029633937105245423
16384,4.94,503,32,8,-0.24839999999999995,0.19481390714645386,70,0.2,0.0003,0.37522487682290373,0.008982300758361816,0.011075121,-1.0758334623649717,0.124951171875,-0.021399301223573274
