time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss
958,1,2,2048,1.0,-0.009999999999999998,,,,,,,,,,
673,2,6,4096,1.0,-0.009999999999999998,0.045169964,10,0.2,-1.5853850565850736,0.0003,nan,-0.6010540366172791,0.184619140625,-0.6163114309310913,0.00024220128076716404
572,3,10,6144,1.0,-0.009999999999999998,0.0005265539,20,0.2,-1.5614886336028575,0.0003,nan,0.0,0.0,0.0,5.44811591673966e-19
