time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,4.84,985,2,1,-0.34689999999999976,,,,,,,,,,
4096,4.89,650,6,2,-0.5065999999999998,0.2148703634738922,10,0.2,0.0003,0.4254882749635726,-0.006278872489929199,0.014682075,-3.8588225446641444,0.232958984375,-0.020422799797961487
6144,4.86,592,10,3,-0.4266999999999998,0.15387475490570068,20,0.2,0.0003,0.4685105726122856,-0.013346076011657715,0.015728196,-3.856839372962713,0.211083984375,-0.01889982995344326
8192,4.77,531,15,4,-0.5451999999999999,0.1377158761024475,30,0.2,0.0003,0.48455861206166445,0.0028895139694213867,0.015444621,-3.849227787554264,0.22431640625,-0.019886660063639282
10240,4.76,525,19,5,-0.5251999999999998,0.17470474541187286,40,0.2,0.0003,0.4334129525348544,0.004419803619384766,0.013777746,-3.8374553635716437,0.1654296875,-0.013473422007518821
12288,4.8,520,23,6,-0.36639999999999984,0.17354567348957062,50,0.2,0.0003,0.4574435078073293,0.005891680717468262,0.017439079,-3.844976409524679,0.309228515625,-0.028869725205004214
14336,4.86,500,28,7,-0.5062999999999999,0.19432303309440613,60,0.2,0.0003,0.4579943558201194,0.0104103684425354,0.015496746,-3.844573520869017,0.212548828125,-0.020422425610013305
16384,4.73,505,32,8,-0.5448,0.16027778387069702,70,0.2,0.0003,0.4434257807675749,0.006507515907287598,0.016678972,-3.834187050163746,0.298046875,-0.025895027435035446
