time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range
14336,7,398,4.69,35,25.564666569999996,0.0003,60,64.3825777411461,0.20756816864013672,0.03291015625,-3.9508919313549997,-0.019283424176683182,0.008558742,24.378305435180664,0.2
16384,8,364,4.67,44,26.84533319,0.0003,70,56.214908635616304,0.3595152497291565,0.024267578125,-3.8639072075486185,-0.01782374904578319,0.008281805,33.81066131591797,0.2
2048,1,1049,4.89,1,15.630666589999999,0.0003,80,59.98722796440124,0.3934704065322876,0.011181640625,-3.8025684900581838,-0.009708965016761795,0.0051921443,19.703676223754883,0.2
4096,2,610,4.87,6,18.52066656,0.0003,10,34.76034528017044,-0.0014342069625854492,0.47734375,-4.433393456041813,-0.06681950803904328,0.03897937,19.244943618774414,0.2
6144,3,418,4.88,14,19.950666570000003,0.0003,20,49.77650102376938,0.003363490104675293,0.470947265625,-4.350975568592548,-0.05773251108766999,0.021996912,30.461469650268555,0.2
8192,4,437,4.78,18,21.373999939999997,0.0003,30,57.94802252650261,0.0029987692832946777,0.532470703125,-4.246476529538631,-0.056760138180106876,0.02131277,31.321796417236328,0.2
10240,5,384,4.77,26,23.028666590000004,0.0003,40,66.11989892721176,0.002330601215362549,0.373291015625,-4.135522298514843,-0.0459966955560958,0.018736571,25.35103416442871,0.2
12288,6,400,4.67,30,24.67799992,0.0003,50,72.17690572738647,0.048110246658325195,0.094677734375,-4.05860226303339,-0.025849107370595446,0.011150769,39.3995246887207,0.2
14336,7,412,4.78,34,24.56199987,0.0003,60,69.1893637061119,0.18818068504333496,0.037109375,-3.97604371458292,-0.015617655540700071,0.0069160312,31.520906448364258,0.2
16384,8,373,4.72,43,26.54733317,0.0003,70,62.24010444879532,0.30384260416030884,0.049169921875,-3.8943590886890886,-0.02472671647265088,0.009625051,27.612979888916016,0.2
