time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss
949,1,2,2048,1.0,-0.009999999999999998,,,,,,,,,,
639,2,6,4096,1.0,-0.009999999999999998,0.0,10,0.2,-1.6094324588775635,0.0003,nan,0.0,0.0,2.5712938722666223e-15,0.0005340063814823602
589,3,10,6144,1.0,-0.009999999999999998,0.0,20,0.2,-1.6094324588775635,0.0003,nan,0.0,0.0,7.290175407792532e-16,2.8661697581283674e-15
