time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,3.52,1077,1,1,-1.9257,,,,,,,,,,
4096,3.81,635,6,2,-1.8887999999999996,0.10152824223041534,10,0.2,0.0003,0.2477826428017579,-0.05510294437408447,0.018793762,-1.599757845327258,0.162353515625,-0.03277408061258029
6144,3.84,609,10,3,-1.7298999999999995,0.056364335119724274,20,0.2,0.0003,0.24256911500124262,0.00509953498840332,0.019910756,-1.552551406621933,0.25146484375,-0.03490656658832449
8192,4.27,593,13,4,-1.3362000000000003,0.2910763919353485,30,0.2,0.0003,0.5404451904818416,0.013930797576904297,0.022603063,-1.4740215256810187,0.242626953125,-0.04570550417120103
10240,4.64,589,17,5,-1.0613,0.31038200855255127,40,0.2,0.0003,0.7667862046509981,0.026747941970825195,0.025366858,-1.3454211745411158,0.253759765625,-0.050714188432903026
12288,4.82,570,21,6,-0.6849999999999997,0.35076776146888733,50,0.2,0.0003,0.7773622468113899,0.018660426139831543,0.023496544,-1.2350759461522103,0.17763671875,-0.04251203200838063
14336,4.82,571,25,7,-0.38649999999999984,0.32043519616127014,60,0.2,0.0003,0.5371077425777913,0.02674013376235962,0.01216479,-1.131496264412999,0.10205078125,-0.025224450332461856
16384,4.93,571,28,8,-0.1886,0.14510054886341095,70,0.2,0.0003,0.3921311961486936,0.0009154081344604492,0.009077911,-1.0543014859780668,0.1130859375,-0.020141860919829925
