time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
2,2048,1,934,3.39,-1.9243999999999999,,,,,,,,,,
6,4096,2,622,3.9,-1.6907000000000003,-0.035374507252709006,0.2,-0.09368765354156494,0.0003,10,0.022089506,0.03019498661160469,-1.599237360060215,0.36093523708404973,0.178662109375
10,6144,3,578,4.0,-1.5921999999999996,-0.039808016413007866,0.2,-0.01321113109588623,0.0003,20,0.023792263,0.30772915482521057,-1.5500612251460553,0.38274844493716953,0.231884765625
15,8192,4,540,4.43,-1.298,-0.048344520683167504,0.2,0.02332174777984619,0.0003,30,0.0248869,0.2636069655418396,-1.4601856663823127,0.5675079398788512,0.25380859375
19,10240,5,536,4.67,-0.7630999999999999,-0.05161536505620461,0.2,0.030681848526000977,0.0003,40,0.026367169,0.3163854777812958,-1.3477733243256806,0.7673860916867852,0.24072265625
23,12288,6,534,4.87,-0.4267999999999998,-0.038713226339314136,0.2,0.021949410438537598,0.0003,50,0.022326238,0.312638521194458,-1.2174793969839812,0.6875076467171312,0.159130859375
26,14336,7,533,4.9,-0.3474999999999998,-0.02774295362760313,0.2,-0.005961060523986816,0.0003,60,0.015680512,0.29145321249961853,-1.1158775832504033,0.5578646327368915,0.126220703125
31,16384,8,517,4.91,-0.26799999999999996,-0.020949762186501176,0.2,0.009713709354400635,0.0003,70,0.012627425,0.1265004277229309,-1.0621682783588766,0.4142099092248827,0.107958984375
35,18432,9,517,4.94,-0.24839999999999993,-0.019583054102258756,0.2,0.0056078433990478516,0.0003,80,0.011834115,0.17112229764461517,-1.026348039880395,0.2623430497595109,0.1634765625
39,20480,10,518,4.96,-0.12919999999999998,-0.01635803019744344,0.2,-0.0019005537033081055,0.0003,90,0.011605137,0.15057651698589325,-0.9903234155848623,0.1989734443865018,0.15751953125
43,22528,11,518,4.99,-0.1096,-0.00967504857253516,0.2,-0.0012166500091552734,0.0003,100,0.010516887,0.07517153769731522,-0.9516330126672983,0.12541490031653665,0.152685546875
48,24576,12,508,5.0,-0.08980000000000002,-0.00970561617432395,0.2,0.004087209701538086,0.0003,110,0.009925313,0.045889146625995636,-0.9248989729210735,0.11407941443285381,0.16162109375
52,26624,13,509,5.0,-0.10969999999999999,-0.006290673426701687,0.2,-0.005152106285095215,0.0003,120,0.014334883,-0.022754764184355736,-0.9020810946822166,0.0410561704939937,0.189208984375
56,28672,14,510,5.0,-0.04999999999999999,-0.006951644973014481,0.2,0.0017381906509399414,0.0003,130,0.012245401,0.003863135352730751,-0.8814392715692521,0.06036965948551369,0.1544921875
60,30720,15,506,5.0,-0.04999999999999999,-0.00900540095026372,0.2,-0.01908409595489502,0.0003,140,0.017196748,-0.03042103722691536,-0.879013241454959,0.02068890900632141,0.255810546875
64,32768,16,506,4.98,-0.06969999999999998,-0.005438119670725427,0.2,0.002727210521697998,0.0003,150,0.0080494145,0.05706815421581268,-0.8728794051334262,0.06445712651302529,0.1287109375
68,34816,17,507,4.98,-0.08959999999999999,-0.005854991113301367,0.2,-0.003031611442565918,0.0003,160,0.014195227,0.0024615153670310974,-0.8845579212531447,0.034370449982361606,0.180615234375
72,36864,18,508,5.0,-0.04999999999999999,-0.007171434328483883,0.2,0.0031766295433044434,0.0003,170,0.011016473,0.03803744167089462,-0.8906816735863685,0.03959858083067047,0.194921875
77,38912,19,498,5.0,-0.04999999999999999,-0.0057561647015973,0.2,-0.012491464614868164,0.0003,180,0.011271432,0.019379355013370514,-0.8667927956208586,0.028090637883519776,0.172216796875
81,40960,20,500,4.99,-0.06979999999999999,-0.004525753339112271,0.2,-0.008337140083312988,0.0003,190,0.009863763,-0.0019455886213108897,-0.8464479651302099,0.03586150570185964,0.185986328125
85,43008,21,501,4.99,-0.06979999999999999,-0.008225210392265581,0.2,0.004504680633544922,0.0003,200,0.010231344,0.01830916851758957,-0.8262388432398439,0.021860507862311352,0.147412109375
90,45056,22,498,5.0,-0.04999999999999999,-0.0033234512797207572,0.2,-0.01104879379272461,0.0003,210,0.019224137,0.03371608629822731,-0.8444081712514162,0.022864862158587584,0.2
94,47104,23,499,5.0,-0.04999999999999999,-0.0060475277903606186,0.2,0.6346741914749146,0.0003,220,0.016239304,-0.008249056525528431,-0.8592002537101507,6.221918098958668e-05,0.143603515625
98,49152,24,500,4.99,-0.06979999999999997,-0.004198810580783174,0.2,0.005211353302001953,0.0003,230,0.01208011,0.0031929025426506996,-0.8445337804034352,0.030835859649397435,0.14873046875
102,51200,25,501,5.0,-0.04999999999999999,-0.0034034011609037408,0.2,0.003965198993682861,0.0003,240,0.011486265,0.006412431597709656,-0.8250805815681815,0.019161095780486904,0.157470703125
