time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
3,2048,1,676,3.41,-1.9445000000000001,,,,,,,,,,
6,4096,2,590,3.92,-1.7903999999999995,-0.035015971208486006,0.2,-0.03565192222595215,0.0003,10,0.022638697,0.0936121940612793,-1.598759964108467,0.2786413991590962,0.162548828125
10,6144,3,565,4.18,-1.6139,-0.04036542344256304,0.2,-0.00623321533203125,0.0003,20,0.02055578,0.11924438178539276,-1.5437844838947057,0.38809441290795804,0.240966796875
14,8192,4,552,4.4,-1.3574000000000002,-0.04810608978441451,0.2,0.03216522932052612,0.0003,30,0.022570547,0.21019694209098816,-1.4539130054414273,0.5605641759932041,0.249267578125
19,10240,5,515,4.6,-0.8420000000000002,-0.0503152917168336,0.2,0.03497737646102905,0.0003,40,0.026379032,0.2643764615058899,-1.3347324188798666,0.7580238780006766,0.25205078125
24,12288,6,509,4.77,-0.4257999999999998,-0.042947514480329116,0.2,0.03386390209197998,0.0003,50,0.025726112,0.2815413773059845,-1.2082048315554856,0.7565299108624458,0.16240234375
28,14336,7,508,4.8,-0.5056999999999998,-0.025480814327602276,0.2,-0.00034797191619873047,0.0003,60,0.013101959,0.2484586536884308,-1.1000239491462707,0.4800099621526897,0.123095703125
32,16384,8,500,4.89,-0.24789999999999995,-0.022786770737729965,0.2,0.00891047716140747,0.0003,70,0.011357302,0.11472541838884354,-1.0488962991163135,0.4094165857881308,0.122412109375
36,18432,9,502,4.95,-0.22859999999999997,-0.017172763089183717,0.2,-0.01240086555480957,0.0003,80,0.010399725,0.07352550327777863,-1.0137419395148755,0.26354857950937005,0.15341796875
40,20480,10,504,4.95,-0.149,-0.016815745532221628,0.2,-0.011298894882202148,0.0003,90,0.0130382525,0.019391950219869614,-0.9842215478420258,0.22006161129975227,0.167822265625
44,22528,11,506,4.95,-0.149,-0.01443013081443496,0.2,0.0038361549377441406,0.0003,100,0.0119707845,0.1412871927022934,-0.9690986273810267,0.1737780508265132,0.140185546875
49,24576,12,497,5.0,-0.04999999999999999,-0.0106720046576811,0.2,-0.00999152660369873,0.0003,110,0.014086764,0.03649717941880226,-0.9485536083579064,0.1040321564181795,0.1822265625
53,26624,13,498,5.0,-0.0898,-0.003801653556365636,0.2,-0.06003570556640625,0.0003,120,0.011353751,0.004114477429538965,-0.9314984571188688,0.029311247611531144,0.140966796875
57,28672,14,499,5.0,-0.04999999999999999,-0.006891296448884532,0.2,0.0033350586891174316,0.0003,130,0.013241556,0.0010501876240596175,-0.9223866377025842,0.06571236672316445,0.17373046875
62,30720,15,492,4.99,-0.10959999999999999,-0.00543768545758212,0.2,0.003826737403869629,0.0003,140,0.009132836,-0.01004093885421753,-0.9051491739228368,0.02409132717784814,0.158056640625
66,32768,16,493,4.99,-0.0897,-0.009849579974252265,0.2,0.006103932857513428,0.0003,150,0.010700814,0.01670582965016365,-0.8813717655837536,0.05046529526534869,0.1513671875
70,34816,17,495,5.0,-0.04999999999999999,-0.007959247179678641,0.2,0.0014255642890930176,0.0003,160,0.01034783,-0.009218576364219189,-0.8605548966675997,0.05125235467144194,0.192041015625
74,36864,18,496,5.0,-0.04999999999999999,-0.004755468579242006,0.2,0.00691378116607666,0.0003,170,0.009932748,-0.004130013287067413,-0.8291271405294538,0.021464661301797604,0.14365234375
78,38912,19,493,4.98,-0.06969999999999997,-0.0077609396554180424,0.2,0.00040650367736816406,0.0003,180,0.013799093,-0.020412130281329155,-0.8085218161344528,0.019355456413973116,0.205908203125
82,40960,20,494,4.97,-0.08950000000000001,-0.006890592940908391,0.2,0.010805606842041016,0.0003,190,0.010850601,0.005466340109705925,-0.8072719844058156,0.04689700183114383,0.143310546875
86,43008,21,495,4.99,-0.06979999999999997,-0.005277143238345161,0.2,0.0035859346389770508,0.0003,200,0.017124547,0.008874998427927494,-0.8196211693808436,0.03457235659863045,0.172216796875
91,45056,22,493,5.0,-0.04999999999999999,-0.005949440645053983,0.2,0.010201454162597656,0.0003,210,0.010982651,0.05897550284862518,-0.8427839947864413,0.02451913950387734,0.17822265625
95,47104,23,494,5.0,-0.04999999999999999,-0.005698756974015851,0.2,-0.005548238754272461,0.0003,220,0.013215536,0.020464014261960983,-0.8269950838759541,0.02056653927654679,0.178955078125
99,49152,24,496,5.0,-0.06989999999999996,-0.005733129073632881,0.2,0.0075165629386901855,0.0003,230,0.025371678,0.007791426032781601,-0.8499041432514787,0.025550465431831527,0.2033203125
103,51200,25,496,4.98,-0.06969999999999998,-0.004308200710511301,0.2,-0.004926323890686035,0.0003,240,0.00928879,-0.0006519170710816979,-0.8156642055138945,0.007858759101611667,0.15498046875
