time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
1,2048,1,1152,4.15,-1.4145999999999999,,,,,,,,,,
5,4096,2,793,4.17,-1.4347,-0.021914542460581287,0.2,-0.003377676010131836,0.0003,10,0.007835929,0.27715229988098145,-2.1917588278651237,0.7217219974845648,0.03740234375
8,6144,3,721,4.48,-1.0796,-0.03539850768866017,0.2,0.017705142498016357,0.0003,20,0.01245015,0.2857109308242798,-2.1759611263871195,0.7353702319785953,0.1212890625
11,8192,4,688,4.5,-0.9205999999999999,-0.03483653836301528,0.2,0.007148683071136475,0.0003,30,0.014186212,0.3587450683116913,-2.140983848273754,0.7847990114241838,0.143359375
15,10240,5,672,4.66,-0.7431,-0.03290806373988744,0.2,0.01804983615875244,0.0003,40,0.01372697,0.2960687279701233,-2.108302638679743,0.7705635473132133,0.14423828125
18,12288,6,660,4.8,-0.3862999999999998,-0.031416006639483386,0.2,0.020110130310058594,0.0003,50,0.0149072055,0.23375630378723145,-2.068035101890564,0.6600095123052597,0.156689453125
21,14336,7,651,4.85,-0.4066999999999999,-0.022473662489210254,0.2,0.004085421562194824,0.0003,60,0.012335017,0.2329871654510498,-2.028121992573142,0.5239271054975688,0.167041015625
25,16384,8,646,4.89,-0.3274999999999998,-0.02162241227051709,0.2,0.0031329989433288574,0.0003,70,0.01654743,0.24193693697452545,-2.0017453633248805,0.4554965145885944,0.17626953125
28,18432,9,641,4.89,-0.20809999999999998,-0.023378547601168975,0.2,0.019447505474090576,0.0003,80,0.015354583,0.17899222671985626,-1.9703787188977002,0.38544973549433054,0.218994140625
32,20480,10,637,4.91,-0.26799999999999996,-0.014839498310175258,0.2,-0.02023148536682129,0.0003,90,0.016264126,0.06662853062152863,-1.9292006336152554,0.2621916486998089,0.1962890625
35,22528,11,635,4.91,-0.16849999999999996,-0.020163235330255703,0.2,-0.00037157535552978516,0.0003,100,0.015050502,0.09895718097686768,-1.909262952953577,0.3350719479378313,0.236279296875
38,24576,12,632,4.93,-0.18859999999999996,-0.017311498800700063,0.2,0.00747370719909668,0.0003,110,0.018616553,0.1358867734670639,-1.8937083963304757,0.18441814702528064,0.258447265625
42,26624,13,631,4.96,-0.26849999999999996,-0.016331886377884075,0.2,0.00030219554901123047,0.0003,120,0.019280342,0.052730318158864975,-1.8684045355767012,0.1507184807516751,0.286767578125
45,28672,14,630,4.94,-0.22849999999999995,-0.01632765005051624,0.2,-0.0006389617919921875,0.0003,130,0.019039884,0.15232716500759125,-1.86126917488873,0.2438328098563943,0.262060546875
48,30720,15,628,4.98,-0.1294,-0.01666362557589309,0.2,-4.696846008300781e-05,0.0003,140,0.022275738,0.06338586658239365,-1.8619145680218936,0.16062371421430727,0.3044921875
52,32768,16,627,4.97,-0.18899999999999995,-0.008422661891381722,0.2,-0.00148773193359375,0.0003,150,0.013691497,0.06803662329912186,-1.8231328770518302,0.0763471543952619,0.2732421875
55,34816,17,626,4.96,-0.14909999999999998,-0.014504164265235885,0.2,0.0037120580673217773,0.0003,160,0.01928468,0.10052555799484253,-1.802794998511672,0.14625030949337087,0.300830078125
58,36864,18,625,4.94,-0.14889999999999998,-0.01416165760892909,0.2,-0.0009914636611938477,0.0003,170,0.019633131,0.00044125423301011324,-1.7634080529212952,0.10324706934006826,0.319921875
62,38912,19,624,5.0,-0.10970000000000002,-0.014522259143996052,0.2,0.002045154571533203,0.0003,180,0.022148017,0.01182444766163826,-1.7524042438715697,0.12081179130618694,0.2916015625
65,40960,20,623,4.98,-0.10950000000000001,-0.01315519910713192,0.2,-0.0169600248336792,0.0003,190,0.022264082,0.05336596444249153,-1.7455333609133958,0.09678548768042675,0.3115234375
69,43008,21,621,4.97,-0.0696,-0.008405860263155773,0.2,0.0072672367095947266,0.0003,200,0.016929386,0.04969770833849907,-1.7208931915462018,0.06382072347114445,0.317578125
72,45056,22,621,4.99,-0.10959999999999999,-0.0067959291365696116,0.2,0.0029961466789245605,0.0003,210,0.017150475,0.0019526220858097076,-1.6868604239076377,0.0930982579619922,0.285009765625
75,47104,23,620,4.99,-0.06979999999999999,-0.007461150780727621,0.2,-0.010083675384521484,0.0003,220,0.02782338,0.05886077508330345,-1.6746590368449688,0.06306409561875626,0.27490234375
79,49152,24,620,5.0,-0.04999999999999999,-0.008751459374616388,0.2,-0.003110647201538086,0.0003,230,0.019471481,0.0007398556917905807,-1.6506007485091687,0.06165611985279611,0.310693359375
82,51200,25,619,5.0,-0.0898,-0.008713455971155781,0.2,-0.016246318817138672,0.0003,240,0.024621753,0.03681598976254463,-1.6687268555164336,0.04791059599665459,0.33583984375
