time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/entropy_loss
2048,886,2,1,2.98,-0.08949999999999994,,,,,,,,,,
4096,527,7,2,2.97,-0.18890000000000007,0.2,0.12372842527747707,10,-0.029349442533566618,0.0003,0.021352103,-0.010196566581726074,0.39755859375,0.0412258580327034,-4.231028160452842
6144,492,12,3,3.0,-0.10959999999999998,0.2,0.15035680746786967,20,-0.026352497361949646,0.0003,0.020988496,0.0012822151184082031,0.4447265625,0.019372977316379547,-4.219309508800507
