time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/entropy_loss
2048,894,2,1,2.97,-0.14909999999999993,,,,,,,,,,
4096,576,7,2,2.97,-0.1889,0.2,0.16431050899236652,10,-0.023241204995429143,0.0003,0.016016014,-0.015425920486450195,0.352392578125,0.021373338997364044,-4.159502995014191
6144,477,12,3,2.99,-0.16919999999999993,0.2,0.148802974636601,20,-0.024321535148192196,0.0003,0.020402422,-0.0019375085830688477,0.45380859375,0.02943187952041626,-4.154301151633263
