time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
1,2048,1,1145,3.4,-1.9642999999999997,,,,,,,,,,
5,4096,2,802,3.71,-1.8679000000000001,-0.03103842755954247,0.2,-0.1782667636871338,0.0003,10,0.021424584,0.09786108136177063,-1.5991694949567319,0.2784318001300562,0.141943359375
8,6144,3,731,4.11,-1.6529999999999998,-0.04132196770515293,0.2,0.0071599483489990234,0.0003,20,0.022521079,0.14516380429267883,-1.5536873742938042,0.3632438526954502,0.26318359375
11,8192,4,688,4.35,-1.3967,-0.0486849645501934,0.2,0.024768710136413574,0.0003,30,0.024332827,0.19067814946174622,-1.474283381178975,0.5579116634093225,0.2619140625
15,10240,5,672,4.69,-0.9822,-0.052085364473168735,0.2,0.041700661182403564,0.0003,40,0.024955729,0.29171502590179443,-1.3643815718591212,0.7220369905233384,0.265087890625
18,12288,6,664,4.83,-0.5258999999999998,-0.040014950223849155,0.2,0.007742404937744141,0.0003,50,0.026031656,0.34789785742759705,-1.2302375234663487,0.7750249195843935,0.146728515625
21,14336,7,658,4.87,-0.4068999999999998,-0.02528190709417686,0.2,0.009813010692596436,0.0003,60,0.014817618,0.23287157714366913,-1.1119148224592208,0.5321376766078174,0.111474609375
25,16384,8,653,4.95,-0.24849999999999994,-0.021326848183525725,0.2,0.01114732027053833,0.0003,70,0.010657208,0.2410428524017334,-1.0451647285372019,0.43390744682401416,0.101806640625
28,18432,9,650,4.89,-0.24789999999999993,-0.02137174642411992,0.2,0.013055622577667236,0.0003,80,0.012089342,0.05989079177379608,-0.9943464564159512,0.26914321491494775,0.16591796875
31,20480,10,646,4.98,-0.1493,-0.01213358556269668,0.2,-0.004196882247924805,0.0003,90,0.011800723,0.06572531908750534,-0.9698798434808851,0.1766587327205343,0.13515625
34,22528,11,643,4.99,-0.1096,-0.012661681685131043,0.2,0.005898535251617432,0.0003,100,0.012047943,0.027902960777282715,-0.969616973400116,0.16421810152824037,0.152490234375
38,24576,12,640,4.99,-0.0897,-0.00985827054537367,0.2,5.936622619628906e-05,0.0003,110,0.010954297,0.037460941821336746,-0.96156111843884,0.11065272662526696,0.1326171875
41,26624,13,639,4.96,-0.10929999999999998,-0.009037582243036014,0.2,-0.0011519193649291992,0.0003,120,0.00942446,0.023220982402563095,-0.9457886973395944,0.06988619839466992,0.182861328125
44,28672,14,638,4.98,-0.06969999999999998,-0.0139453864787356,0.2,0.00032263994216918945,0.0003,130,0.012746198,0.05023627355694771,-0.9240425525233149,0.07324814599342062,0.216748046875
48,30720,15,637,4.96,-0.12919999999999995,-0.01091839402943151,0.2,-0.005084514617919922,0.0003,140,0.020217907,0.01770135760307312,-0.868969825282693,0.036987908461924235,0.23466796875
51,32768,16,636,5.0,-0.04999999999999999,-0.009169613705307712,0.2,0.0053348541259765625,0.0003,150,0.010775564,0.03390763700008392,-0.8618976501747966,0.05678707511333414,0.17265625
54,34816,17,635,5.0,-0.06989999999999996,-0.012271032614808063,0.2,-0.003027677536010742,0.0003,160,0.019006973,-0.02286328747868538,-0.8649490926414728,0.029387666740922212,0.276708984375
58,36864,18,635,5.0,-0.06989999999999999,-0.006477250026364345,0.2,0.0085524320602417,0.0003,170,0.011161476,0.0005116215907037258,-0.8751344375312329,0.05561164126756921,0.16005859375
61,38912,19,634,5.0,-0.06989999999999996,-0.006893443474837113,0.2,-0.003419637680053711,0.0003,180,0.019060079,0.024704718962311745,-0.8670563563704491,0.06637612550002814,0.178271484375
64,40960,20,633,5.0,-0.04999999999999999,-0.008541001979028805,0.2,0.000991225242614746,0.0003,190,0.018093146,0.017772627994418144,-0.8527124863117933,0.015478156177948676,0.22099609375
68,43008,21,631,4.96,-0.10930000000000001,-0.004208084813581081,0.2,0.14921921491622925,0.0003,200,0.023683427,0.03695711866021156,-0.8568469457328319,4.9100965412662845e-05,0.205517578125
71,45056,22,630,5.0,-0.04999999999999999,-0.0061545437798486095,0.2,0.009159326553344727,0.0003,210,0.014523071,0.004499426111578941,-0.8448896342888474,0.029184222770129508,0.195166015625
74,47104,23,629,5.0,-0.06989999999999999,-0.008614419476361945,0.2,-0.011220574378967285,0.0003,220,0.013879324,0.049686938524246216,-0.8347663048654794,0.039698636082357554,0.198095703125
78,49152,24,629,5.0,-0.04999999999999999,-0.00458413107553497,0.2,-0.0017006397247314453,0.0003,230,0.009693033,0.027279512956738472,-0.8143064875155688,0.015460727303616296,0.14560546875
81,51200,25,628,4.98,-0.08959999999999999,-0.0049853179370984435,0.2,0.0024941563606262207,0.0003,240,0.018475823,0.03192928433418274,-0.8010009551420808,0.043533381637325876,0.1962890625
