time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
1,2048,1,1098,4.72,-0.4053999999999999,,,,,,,,,,
5,4096,2,728,4.87,-0.38699999999999996,-0.020274228576454334,0.2,-0.004896402359008789,0.0003,10,0.015788224,0.19367770850658417,-4.047264432907104,0.4359464817214757,0.228125
9,6144,3,650,4.89,-0.3274999999999998,-0.02454354406800121,0.2,0.005764305591583252,0.0003,20,0.01776804,0.13006581366062164,-4.030389440059662,0.3842740740161389,0.304345703125
13,8192,4,621,4.75,-0.5250999999999998,-0.022531959842308425,0.2,0.002988457679748535,0.0003,30,0.016864542,0.12176686525344849,-4.025815138220787,0.41460161895956843,0.268603515625
16,10240,5,603,4.87,-0.30739999999999995,-0.01847431458882056,0.2,0.005768001079559326,0.0003,40,0.014471717,0.2301725447177887,-4.020392751693725,0.4539870026521385,0.218017578125
20,12288,6,593,4.88,-0.3870999999999999,-0.021879429707769304,0.2,-0.00035703182220458984,0.0003,50,0.017415898,0.09139341115951538,-4.018844865262508,0.37404648242518307,0.29873046875
24,14336,7,585,4.82,-0.4262999999999999,-0.02640007520967629,0.2,0.007378697395324707,0.0003,60,0.017196879,0.1357502043247223,-4.0239693656563755,0.4169109704904258,0.30927734375
28,16384,8,580,4.87,-0.34719999999999984,-0.020231537334620953,0.2,0.007124125957489014,0.0003,70,0.017347269,0.18217971920967102,-4.015523663163185,0.41848846334032713,0.2640625
32,18432,9,575,4.85,-0.42659999999999987,-0.019633215465000832,0.2,0.0074746012687683105,0.0003,80,0.015874017,0.133116215467453,-4.009715016186237,0.40830772421322764,0.23837890625
35,20480,10,572,4.87,-0.4267999999999998,-0.02986739461775869,0.2,0.0072081685066223145,0.0003,90,0.01835306,0.1954028308391571,-4.0209110096097,0.4425679175183177,0.3478515625
39,22528,11,569,4.82,-0.4262999999999998,-0.025326398998731747,0.2,0.006649613380432129,0.0003,100,0.017956391,0.16532021760940552,-4.008996959775686,0.45397518794052305,0.29169921875
43,24576,12,567,4.68,-0.5840999999999998,-0.02173775006085634,0.2,0.0019137859344482422,0.0003,110,0.018320648,0.16514378786087036,-4.017357033491135,0.4170435989042744,0.274755859375
47,26624,13,565,4.88,-0.3870999999999999,-0.022889419240527786,0.2,0.008471369743347168,0.0003,120,0.01738815,0.2517588436603546,-4.018389596045017,0.4390952069312334,0.289453125
50,28672,14,563,4.71,-0.44509999999999983,-0.022274128411663697,0.2,0.011134505271911621,0.0003,130,0.016313732,0.2014838457107544,-4.02845284640789,0.4127000918611884,0.275830078125
54,30720,15,561,4.82,-0.4859999999999998,-0.020815421466249973,0.2,0.0049263834953308105,0.0003,140,0.01602152,0.20273888111114502,-4.0260071322321895,0.4183162893168628,0.2255859375
58,32768,16,560,4.86,-0.4067999999999998,-0.021445050573674962,0.2,0.008882343769073486,0.0003,150,0.016469639,0.08936590701341629,-4.030625714361667,0.3989314153790474,0.26455078125
62,34816,17,559,4.87,-0.2874999999999999,-0.024586993776028975,0.2,0.0028364062309265137,0.0003,160,0.017282233,0.20137374103069305,-4.026399777829647,0.41599788879975674,0.303662109375
66,36864,18,557,4.77,-0.42579999999999985,-0.022541472845477983,0.2,0.01254570484161377,0.0003,170,0.01689307,0.13134092092514038,-4.024708460271358,0.3769715489121154,0.282568359375
69,38912,19,557,4.8,-0.38629999999999975,-0.016239126224536448,0.2,0.0121878981590271,0.0003,180,0.015257601,0.17054952681064606,-4.027952149510384,0.386233076127246,0.225927734375
73,40960,20,556,4.77,-0.44569999999999993,-0.01855632052611327,0.2,0.01506274938583374,0.0003,190,0.015304074,0.1671665608882904,-4.0169642329216,0.3813796952366829,0.2443359375
77,43008,21,555,4.82,-0.4262999999999998,-0.02159467221936211,0.2,0.0146331787109375,0.0003,200,0.015920244,0.2115679681301117,-4.010213315486908,0.4091513351537287,0.24921875
81,45056,22,555,4.82,-0.38649999999999984,-0.02134648310893681,0.2,0.01219242811203003,0.0003,210,0.016211208,0.1640881896018982,-4.002585923671722,0.44649465321563186,0.2486328125
84,47104,23,554,4.91,-0.30779999999999996,-0.022894056438235565,0.2,0.010078787803649902,0.0003,220,0.016731838,0.19370916485786438,-4.0098818495869635,0.38585066446103156,0.30654296875
88,49152,24,554,4.85,-0.38679999999999987,-0.024334688714588992,0.2,0.007190346717834473,0.0003,230,0.016366087,0.08222721517086029,-4.007700602710247,0.39958388288505375,0.29423828125
92,51200,25,553,4.91,-0.26799999999999996,-0.025364355722558685,0.2,0.005196213722229004,0.0003,240,0.016257428,0.15679237246513367,-4.020421682298183,0.385742067405954,0.305810546875
