timesteps,mean_reward
2048,7.25379388
4096,7.95464627
6144,8.73099211
8192,10.643323250000003
10240,11.775555480000005
12288,14.42131948
14336,15.479238079999998
16384,15.771558149999995
2048,7.76196242
4096,9.016682
6144,9.76166893
8192,10.70264404
10240,12.68997136
12288,14.659596939999998
14336,14.90780955
16384,16.147656069999996
2048,8.218475759999999
4096,8.2758714
6144,9.399990120000002
8192,10.107107650000003
10240,11.94446645
12288,14.47666047
14336,15.453814040000005
16384,16.942494879999998
2048,10.18601326
4096,10.04279493
6144,11.618755589999996
8192,12.172666840000002
10240,14.04281626
12288,14.99007798
14336,17.59738473
16384,18.4175925
2048,10.9442446
4096,10.61978918
6144,11.67735349
8192,13.19751203
10240,14.34636237
12288,14.042020779999998
14336,16.49181556
16384,17.927167179999998
2048,13.410412600000004
4096,14.606901360000002
6144,14.81357015
8192,15.59577078
10240,16.08718058
12288,18.75442795
14336,20.07655445
16384,20.49364423
2048,12.62493286
4096,14.089591919999997
6144,14.392264909999996
8192,15.049896530000002
10240,16.256186480000004
12288,17.19022732
14336,18.89557643
16384,21.21978471
2048,13.885849830000002
4096,14.53121315
6144,14.73070968
8192,15.44257255
10240,16.083013599999997
12288,17.69315733
14336,19.038403880000004
16384,21.38818643
2048,13.6553594
4096,14.312207869999998
6144,15.0177446
8192,16.69099486
10240,16.7987936
12288,18.81905195
14336,20.76597042
16384,21.99952951
2048,13.69614818
4096,15.34787688
6144,15.84485347
8192,15.97664003
10240,18.16353267
12288,18.66596603
14336,20.901528690000006
16384,23.080289100000005
2048,14.34244567
4096,14.62873387
6144,14.84559953
8192,15.859608539999996
10240,16.01609989
12288,18.24371042
14336,19.707911650000003
16384,21.878607700000007
