timesteps,mean_reward
2048,7.0302565800000005
4096,7.609273160000002
6144,8.61383182
2048,8.031056379999999
4096,8.564199219999999
6144,9.76555491
2048,7.928147689999999
4096,7.96912719
6144,9.07703789
2048,10.0787682
4096,10.46143987
6144,11.273726350000004
2048,10.65699214
4096,11.002764659999997
6144,12.61050045
2048,13.96738767
4096,13.750123660000003
6144,15.21869312
2048,12.88209706
4096,14.1460319
6144,14.34406376
2048,13.461321919999998
4096,14.297371629999995
6144,14.42135443
2048,13.921656359999997
4096,14.645710270000002
6144,15.57598473
2048,14.278224749999998
4096,14.251542679999998
6144,15.57294402
2048,14.197453340000004
4096,15.00898568
6144,16.296478710000002
