snapshot,issue_id,reward,severity,effort_minutes,created_at
2024-11-01 00:00:00+00:00,AZLjvU97yTR5NnVSEQjA,7.082008293035236,HIGH,5,31/10/2024 17:46
2024-11-01 00:00:00+00:00,AZUWLytz36iphIe0EWXv,1.3820082930352362,INFO,2,31/10/2024 20:16
2024-11-01 00:00:00+00:00,AZUWL0E836iphIe0EWZq,1.3820082930352362,INFO,2,31/10/2024 17:46
2024-11-01 00:00:00+00:00,AZUWL0E836iphIe0EWZo,1.3820082930352362,INFO,2,31/10/2024 17:46
2024-11-01 00:00:00+00:00,AZLjvTa4yTR5NnVSEQi6,1.0820082930352362,LOW,15,31/10/2024 17:46
2024-12-01 00:00:00+00:00,AZNRegBCHdTbqesaDP2m,6.775574221358691,HIGH,8,21/11/2024 19:15
2024-12-01 00:00:00+00:00,AZN1J1Z_qPrYZHMBqJv-,2.4733341276897747,LOW,1,28/11/2024 18:48
2024-12-01 00:00:00+00:00,AZN1J1Z_qPrYZHMBqJv_,2.4733341276897747,LOW,1,28/11/2024 18:48
2024-12-01 00:00:00+00:00,AZN1J1Z_qPrYZHMBqJwA,2.4733341276897747,LOW,1,28/11/2024 18:48
2024-12-01 00:00:00+00:00,AZN5phrQA7FbocFHFRWK,2.0730099782973577,LOW,5,29/11/2024 20:24
2025-01-01 00:00:00+00:00,AZSU7L9m-azkq0ydvEFo,7.571373280550937,HIGH,0,04/12/2024 05:27
2025-01-01 00:00:00+00:00,AZPcGzuhx4TW4Sgx-uia,4.066642668811244,MEDIUM,5,18/12/2024 19:27
2025-01-01 00:00:00+00:00,AZPcGz26x4TW4Sgx-uic,2.566642668811243,MEDIUM,20,18/12/2024 19:27
2025-01-01 00:00:00+00:00,AZPcGzuhx4TW4Sgx-uiZ,1.3666426688112434,INFO,2,18/12/2024 19:27
2025-01-01 00:00:00+00:00,AZPcGz26x4TW4Sgx-uib,0.5662960480135947,LOW,20,18/12/2024 21:13
2025-02-01 00:00:00+00:00,AZSP2kJuJPdOgQfbKdia,10.886672282206085,BLOCKER,10,22/01/2025 20:55
2025-02-01 00:00:00+00:00,AZUfZqVBKtSkhdc-WL--,4.416792487721139,MEDIUM,2,31/01/2025 18:19
2025-02-01 00:00:00+00:00,AZTxM3OKH5-zNsbPck5R,2.4838664869265696,LOW,1,30/01/2025 06:30
2025-02-01 00:00:00+00:00,AZTxM3OKH5-zNsbPck5S,2.4838664869265696,LOW,1,30/01/2025 06:30
2025-02-01 00:00:00+00:00,AZVExhZeUPviI_xz-uZe,1.417199820259903,INFO,2,29/01/2025 23:50
2025-03-01 00:00:00+00:00,AZSP2kJuJPdOgQfbKdia,10.886672282206085,BLOCKER,10,22/01/2025 20:55
2025-03-01 00:00:00+00:00,AZVA3oxYVVsZ_jYNUhg_,10.872240506314984,BLOCKER,10,26/02/2025 05:52
2025-03-01 00:00:00+00:00,AZVdfm9nUXLhTExiOTA9,3.2041945074350835,MEDIUM,20,28/02/2025 23:43
2025-03-01 00:00:00+00:00,AZVA3oxYVVsZ_jYNUhhA,1.4055738396483168,INFO,2,26/02/2025 05:52
2025-03-01 00:00:00+00:00,AZVExhXgUPviI_xz-uZd,1.4051161729455757,INFO,2,27/02/2025 00:04
2025-04-01 00:00:00+00:00,AZVA3oxYVVsZ_jYNUhg_,11.464833098907576,BLOCKER,10,26/02/2025 05:52
2025-04-01 00:00:00+00:00,AZXacWyKMJgS6RpgV0Do,4.487137664468927,MEDIUM,5,28/03/2025 01:33
2025-04-01 00:00:00+00:00,AZXp2g-Vmz7Q4bmkcJv6,2.5172949998086414,LOW,1,27/03/2025 19:26
2025-04-01 00:00:00+00:00,AZXacWyKMJgS6RpgV0Dn,1.5093598866911493,INFO,2,28/03/2025 01:33
2025-04-01 00:00:00+00:00,AZXacWyKMJgS6RpgV0Dm,1.5093598866911493,INFO,2,28/03/2025 01:33
2025-05-01 00:00:00+00:00,AZSP2kJuJPdOgQfbKdib,11.479264874798677,BLOCKER,10,22/01/2025 20:55
2025-05-01 00:00:00+00:00,AZaOO94ORzY-K024VR-5,7.4605411562805095,HIGH,6,29/04/2025 23:45
2025-05-01 00:00:00+00:00,AZaADT4UoKB3LvCCz2xY,1.490809765720016,INFO,2,29/04/2025 05:21
2025-05-01 00:00:00+00:00,AZaADT4UoKB3LvCCz2xZ,1.490809765720016,INFO,2,29/04/2025 05:21
2025-05-01 00:00:00+00:00,AZaADTySoKB3LvCCz2xW,1.490809765720016,INFO,2,29/04/2025 01:50
2025-06-01 00:00:00+00:00,AZSP2kJuJPdOgQfbKdib,11.479264874798677,BLOCKER,10,22/01/2025 20:55
2025-06-01 00:00:00+00:00,AZcjjQXweYx_fPjtUDIM,7.4512431552216,HIGH,5,24/05/2025 01:17
2025-06-01 00:00:00+00:00,AZc9R9rGoh1-NT4cCCBV,7.429020932999378,HIGH,8,23/05/2025 20:46
