effort_bin,tms_count,pms_count,tms_prop,pms_prop,prop_diff_tms_minus_pms
0,10,22,0.023809523809523808,0.41509433962264153,-0.3912848158131177
1-5,350,10,0.8333333333333334,0.18867924528301888,0.6446540880503144
6-10,31,2,0.07380952380952381,0.03773584905660377,0.03607367475292004
11-30,29,19,0.06904761904761905,0.3584905660377358,-0.28944294699011675
31-60,0,0,0.0,0.0,0.0
>60,0,0,0.0,0.0,0.0
