severity,tms_count,pms_count,tms_prop,pms_prop,prop_diff_tms_minus_pms
info,118,22,0.28095238095238095,0.41509433962264153,-0.13414195867026057
low,142,28,0.3380952380952381,0.5283018867924528,-0.1902066486972147
medium,38,1,0.09047619047619047,0.018867924528301886,0.07160826594788859
high,107,2,0.25476190476190474,0.03773584905660377,0.21702605570530098
blocker,15,0,0.03571428571428571,0.0,0.03571428571428571
