snapshot,issue_id,reward,severity,effort_minutes,created_at,age_days_at_selection
2021-08-01 00:00:00+00:00,AYegSb70QrUJwQ4hS6nE,1.0,info,0,2021-07-16 20:03:19+00:00,15
2018-09-01 00:00:00+00:00,AYegSbZeQrUJwQ4hS6nA,1.0,info,0,2018-08-21 17:21:53+00:00,10
2020-03-01 00:00:00+00:00,AYegSdQ-QrUJwQ4hS6nU,1.0,info,0,2020-02-13 18:22:50+00:00,16
2020-01-01 00:00:00+00:00,AYegSdQoQrUJwQ4hS6nT,1.0,info,0,2019-12-26 19:19:39+00:00,5
2019-07-01 00:00:00+00:00,AYegSdS3QrUJwQ4hS6nY,1.0,info,0,2019-06-11 21:41:15+00:00,19
2019-08-01 00:00:00+00:00,AYegSdUWQrUJwQ4hS6na,1.0,info,0,2019-07-10 23:36:43+00:00,21
2019-09-01 00:00:00+00:00,AYegSeeYQrUJwQ4hS6nc,1.0,info,0,2019-08-23 16:59:17+00:00,8
2023-07-01 00:00:00+00:00,AYihf5O47WR0QPwm8nWG,1.75,low,5,2023-06-09 18:38:40+00:00,21
2023-06-01 00:00:00+00:00,AYihf5QU7WR0QPwm8nWJ,1.75,low,5,2023-05-31 19:00:36+00:00,0
2023-06-01 00:00:00+00:00,AYihf5QV7WR0QPwm8nWK,1.75,low,5,2023-05-31 19:00:36+00:00,0
2023-08-01 00:00:00+00:00,AYlqrvSGlvjU9ALKnAyd,1.9,low,2,2023-07-18 20:14:39+00:00,13
2023-08-01 00:00:00+00:00,AYlqrvg4lvjU9ALKnAyj,1.9,low,2,2023-07-18 20:14:39+00:00,13
2023-08-01 00:00:00+00:00,AYlqrvhvlvjU9ALKnAyk,1.9,low,2,2023-07-18 20:14:39+00:00,13
2023-08-01 00:00:00+00:00,AYlqrviOlvjU9ALKnAyl,1.9,low,2,2023-07-18 20:14:39+00:00,13
2023-09-01 00:00:00+00:00,AYpn96jm3aR0CCY4nhTL,1.95,low,1,2023-08-30 20:38:27+00:00,1
2023-10-01 00:00:00+00:00,AYslYt9J29pDcg_Re1qP,1.75,low,5,2023-09-29 18:41:58+00:00,1
2023-10-01 00:00:00+00:00,AYslYt9b29pDcg_Re1qQ,1.75,low,5,2023-09-29 18:41:58+00:00,1
2023-10-01 00:00:00+00:00,AYslYvLj29pDcg_Re1uT,1.75,low,5,2023-09-29 18:41:58+00:00,1
2023-12-01 00:00:00+00:00,AYwX9i7Jq77eoonS7EF0,1.9,low,2,2023-11-28 21:50:22+00:00,2
2023-12-01 00:00:00+00:00,AYwX9i7Jq77eoonS7EFz,1.9,low,2,2023-11-28 21:50:22+00:00,2
2023-12-01 00:00:00+00:00,AYwZp1RyZ9Qcp-nNpbm6,1.0,info,0,2023-11-29 05:43:23+00:00,1
2023-12-01 00:00:00+00:00,AYwZp1RyZ9Qcp-nNpbm7,1.0,info,0,2023-11-29 05:43:23+00:00,1
2019-02-01 00:00:00+00:00,AYxvK6osijFDpMqo8-Cv,1.8666666666666667,low,2,2019-01-15 17:24:13+00:00,16
2017-10-01 00:00:00+00:00,AZBbMXOD-vc9aDr8e5rC,7.866666666666666,high,2,2017-06-28 16:52:27+00:00,94
2023-08-01 00:00:00+00:00,AZBbMXOE-vc9aDr8e5rE,7.9,high,2,2017-06-28 16:52:27+00:00,2224
2020-12-01 00:00:00+00:00,AZBbMXOE-vc9aDr8e5rG,7.9,high,2,2018-10-25 19:59:50+00:00,767
2021-02-01 00:00:00+00:00,AZBbMXOE-vc9aDr8e5rH,7.9,high,2,2020-12-17 19:15:36+00:00,45
2020-12-01 00:00:00+00:00,AZBbMXa3-vc9aDr8e5rR,1.9,low,2,2020-11-03 19:28:57+00:00,27
2020-12-01 00:00:00+00:00,AZBbMXa3-vc9aDr8e5rS,1.9,low,2,2020-11-03 19:28:57+00:00,27
2020-08-01 00:00:00+00:00,AZBbMXbh-vc9aDr8e5rT,3.6666666666666665,medium,5,2020-07-16 17:23:48+00:00,15
2020-04-01 00:00:00+00:00,AZBbMXef-vc9aDr8e5rc,1.8666666666666667,low,2,2020-03-25 17:45:55+00:00,6
2022-07-01 00:00:00+00:00,AZBbMXic-vc9aDr8e5rh,7.75,high,5,2022-01-05 00:50:47+00:00,176
2023-10-01 00:00:00+00:00,AZBbMXic-vc9aDr8e5ri,7.75,high,5,2022-01-05 00:50:47+00:00,633
2024-05-01 00:00:00+00:00,AZBbMXlZ-vc9aDr8e5rp,1.9,low,2,2024-04-30 15:09:53+00:00,0
2022-07-01 00:00:00+00:00,AZBbMXpW-vc9aDr8e5rr,1.9,low,2,2022-06-10 17:04:35+00:00,20
2020-04-01 00:00:00+00:00,AZBbMXrM-vc9aDr8e5rw,1.8666666666666667,low,2,2020-03-25 17:45:55+00:00,6
2018-08-01 00:00:00+00:00,AZBbMXyp-vc9aDr8e5r8,7.666666666666667,high,5,2018-07-24 18:06:21+00:00,7
2023-07-01 00:00:00+00:00,AZBbMY0b-vc9aDr8e5sw,7.9,high,2,2023-06-09 18:55:00+00:00,21
2022-01-01 00:00:00+00:00,AZBbMY1f-vc9aDr8e5s0,7.75,high,5,2020-01-10 23:51:46+00:00,721
2020-11-01 00:00:00+00:00,AZBbMY1f-vc9aDr8e5s2,1.9,low,2,2020-10-30 21:49:10+00:00,1
2019-10-01 00:00:00+00:00,AZBbMY2i-vc9aDr8e5s4,7.666666666666667,high,5,2019-09-17 17:07:47+00:00,13
2019-10-01 00:00:00+00:00,AZBbMY2i-vc9aDr8e5s5,7.666666666666667,high,5,2019-09-17 17:07:47+00:00,13
2024-06-01 00:00:00+00:00,AZBbMY46-vc9aDr8e5s-,7.9,high,2,2024-05-15 02:56:34+00:00,16
2024-06-01 00:00:00+00:00,AZBbMY46-vc9aDr8e5s9,7.9,high,2,2024-05-15 02:56:34+00:00,16
2024-06-01 00:00:00+00:00,AZBbMY46-vc9aDr8e5s_,3.75,medium,5,2024-05-15 02:56:34+00:00,16
2024-06-01 00:00:00+00:00,AZBbMY46-vc9aDr8e5tA,3.75,medium,5,2024-05-15 02:56:34+00:00,16
2020-09-01 00:00:00+00:00,AZBbMY5t-vc9aDr8e5tB,3.6666666666666665,medium,5,2020-08-26 22:24:27+00:00,5
2020-11-01 00:00:00+00:00,AZBbMY7b-vc9aDr8e5tH,7.75,high,5,2020-10-30 21:49:10+00:00,1
2020-11-01 00:00:00+00:00,AZBbMY7b-vc9aDr8e5tI,7.75,high,5,2020-10-30 21:49:10+00:00,1
2021-08-01 00:00:00+00:00,AZBbMYM--vc9aDr8e5sE,1.9,low,2,2021-07-16 17:44:17+00:00,15
2023-03-01 00:00:00+00:00,AZBbMYM--vc9aDr8e5sF,1.9,low,2,2023-02-06 19:39:04+00:00,22
2023-03-01 00:00:00+00:00,AZBbMYM--vc9aDr8e5sG,1.9,low,2,2023-02-06 19:39:04+00:00,22
2024-02-01 00:00:00+00:00,AZBbMYPE-vc9aDr8e5sI,7.75,high,5,2018-10-26 04:15:21+00:00,1923
2019-06-01 00:00:00+00:00,AZBbMYpC-vc9aDr8e5sM,7.666666666666667,high,5,2018-09-24 18:30:54+00:00,249
2024-06-01 00:00:00+00:00,AZBbMYue-vc9aDr8e5sV,7.9,high,2,2023-08-16 18:37:06+00:00,289
2021-09-01 00:00:00+00:00,AZBbMYvK-vc9aDr8e5sd,7.75,high,5,2021-08-13 18:30:51+00:00,18
2021-09-01 00:00:00+00:00,AZBbMYvK-vc9aDr8e5se,7.75,high,5,2021-08-13 18:30:51+00:00,18
2024-05-01 00:00:00+00:00,AZBbMYvr-vc9aDr8e5sh,7.75,high,5,2020-05-12 21:26:35+00:00,1449
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sl,1.3333333333333337,low,10,2018-09-24 18:30:54+00:00,6
2021-06-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sm,7.75,high,5,2018-09-24 18:30:54+00:00,980
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sn,1.3333333333333337,low,10,2018-09-24 18:30:54+00:00,6
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5so,1.3333333333333337,low,10,2018-09-24 18:30:54+00:00,6
2022-03-01 00:00:00+00:00,AZBbMYyX-vc9aDr8e5sq,7.75,high,5,2022-02-23 00:13:37+00:00,5
2022-03-01 00:00:00+00:00,AZBbMYyX-vc9aDr8e5sr,7.75,high,5,2022-02-23 00:13:37+00:00,5
2023-02-01 00:00:00+00:00,AZBbMYzm-vc9aDr8e5sv,7.9,high,2,2017-06-28 16:52:27+00:00,2043
2023-09-01 00:00:00+00:00,AZBbMZB6-vc9aDr8e5tK,7.75,high,5,2023-08-28 22:57:33+00:00,3
2023-11-01 00:00:00+00:00,AZBbMZJ6-vc9aDr8e5te,1.9,low,2,2023-10-25 20:57:42+00:00,6
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tP,7.666666666666667,high,5,2018-08-10 06:26:25+00:00,21
2018-09-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tQ,7.666666666666667,high,5,2018-08-10 06:26:25+00:00,21
2019-02-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tR,7.666666666666667,high,5,2019-01-30 23:22:00+00:00,1
2024-07-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tT,7.75,high,5,2019-02-01 23:45:44+00:00,1976
2019-11-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tW,7.666666666666667,high,5,2019-02-01 23:45:44+00:00,272
2020-11-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tX,7.75,high,5,2019-02-01 23:45:44+00:00,638
2022-06-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tY,7.75,high,5,2018-07-13 19:16:57+00:00,1418
