snapshot,issue_idx,issue_id,reward_practice,created_at,closed_at,severity,effort_minutes,age_days_at_selection
2024-08-01 00:00:00+00:00,0,AZAIbWCCMv3mNyVwW5MR,-0.01,2024-06-11 17:39:05+00:00,2025-12-10 04:40:00+00:00,low,1,50
2025-12-01 00:00:00+00:00,17,AZFSEbRlpOPD6rdShzbo,1.0,2024-08-14 17:53:26+00:00,2025-12-02 05:44:33+00:00,low,1,473
2025-02-01 00:00:00+00:00,0,AZRsAL_hj7-3amoNTabQ,-0.01,2025-01-15 21:51:12+00:00,2025-12-04 19:22:50+00:00,info,0,16
2025-04-01 00:00:00+00:00,3,AZRsAN-0j7-3amoNTadQ,-0.01,2025-01-15 21:51:12+00:00,2025-12-04 23:58:15+00:00,info,0,75
2025-02-01 00:00:00+00:00,1,AZRsANxDj7-3amoNTacv,-0.01,2025-01-15 21:51:12+00:00,2025-12-04 23:58:15+00:00,info,0,16
2025-02-01 00:00:00+00:00,2,AZRsANxDj7-3amoNTacw,-0.01,2025-01-15 21:51:12+00:00,2025-12-04 23:58:15+00:00,info,0,16
2025-12-01 00:00:00+00:00,1,AZgvsXdfWK27CS2vNgVA,0.0714285714285714,2025-07-22 00:55:45+00:00,2025-12-04 20:25:43+00:00,high,10,131
2025-08-01 00:00:00+00:00,3,AZgvsXdxWK27CS2vNgVD,-0.01,2025-07-22 00:55:45+00:00,2025-12-04 20:25:43+00:00,medium,20,9
2025-08-01 00:00:00+00:00,2,AZgvsXdxWK27CS2vNgVH,-0.01,2025-07-22 00:55:45+00:00,2025-12-04 20:25:43+00:00,low,15,9
2025-12-01 00:00:00+00:00,0,AZgvsXeAWK27CS2vNgVL,0.125,2025-07-22 00:55:45+00:00,2025-12-04 20:25:43+00:00,high,10,131
2025-11-01 00:00:00+00:00,12,AZgznQcSLGBjmIWCNQBS,1.0,2025-07-08 21:14:36+00:00,2025-11-28 18:01:50+00:00,info,0,115
2017-07-01 00:00:00+00:00,2,AZpLECBBEL2EsUOqrbCe,-0.01,2017-06-28 16:52:27+00:00,2025-12-20 01:10:49+00:00,low,15,2
2017-07-01 00:00:00+00:00,3,AZpLECBBEL2EsUOqrbCf,-0.01,2017-06-28 16:52:27+00:00,2025-12-20 01:10:49+00:00,low,15,2
2017-07-01 00:00:00+00:00,4,AZpLECBBEL2EsUOqrbCg,-0.01,2017-06-28 16:52:27+00:00,2025-12-20 01:10:49+00:00,low,15,2
2017-07-01 00:00:00+00:00,0,AZpLECY6EL2EsUOqrbCi,-0.01,2017-06-28 16:52:27+00:00,2025-12-20 01:10:49+00:00,low,15,2
2017-07-01 00:00:00+00:00,1,AZpLECY6EL2EsUOqrbCj,-0.01,2017-06-28 16:52:27+00:00,2025-12-20 01:10:49+00:00,low,15,2
