group,n_unique_issues,mean_effort,median_effort,q1_effort,q3_effort,mean_severity_weight,median_severity_weight,high_or_blocker_prop,mean_age_days_at_selection,median_age_days_at_selection
TMS,420,4.607142857142857,2.0,2.0,5.0,3.9285714285714284,2.0,0.2904761904761905,117.56190476190476,9.0
PMS,53,6.320754716981132,2.0,0.0,15.0,1.849056603773585,2.0,0.03773584905660377,159.18867924528303,57.0
