time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/learning_rate
1,2,4.86,924,-0.16629999999999995,2048,,,,,,,,,,
2,14,4.82,291,-0.30999999999999994,4096,0.368505859375,10,0.355728744273074,0.2,-4.32846928536892,-0.02957042016496416,0.018289862,-0.006606459617614746,0.15281519293785095,0.0003
3,18,4.91,324,-0.17149999999999999,6144,0.306494140625,20,0.4419932079035789,0.2,-4.30742108374834,-0.02642897302575875,0.016316894,-0.0002551078796386719,0.16847193241119385,0.0003
4,30,4.82,271,-0.1697,8192,0.347412109375,30,0.40094134006649257,0.2,-4.285966816544533,-0.0277409273039666,0.019069111,0.0006537437438964844,0.202042818069458,0.0003
5,37,4.9,276,-0.07049999999999998,10240,0.390576171875,40,0.3588808127911761,0.2,-4.269661095738411,-0.03057567067880882,0.020797642,0.00015407800674438477,0.1506274789571762,0.0003
6,45,4.84,271,-0.20379999999999995,12288,0.3400390625,50,0.4440429619979113,0.2,-4.265526446700096,-0.030645990313496442,0.018499978,-0.0005080699920654297,0.11170835793018341,0.0003
7,53,4.95,266,0.0006000000000000272,14336,0.33134765625,60,0.4908198385033756,0.2,-4.249936628341675,-0.031228520085278433,0.019864827,0.00018590688705444336,0.24617576599121094,0.0003
8,60,4.78,269,0.03380000000000003,16384,0.329833984375,70,0.4565041109453887,0.2,-4.2242949411273,-0.029950933686632198,0.01889079,0.0002726912498474121,0.18876510858535767,0.0003
