time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,4.9,975,2,1,-0.3077,,,,,,,,,,
4096,4.78,704,5,2,-0.4656999999999998,0.19219908118247986,10,0.2,0.0003,0.43316702304873617,-0.0015429258346557617,0.014052025,-3.7729962065815927,0.163037109375,-0.015155469039746095
6144,4.78,584,10,3,-0.36619999999999986,0.17030413448810577,20,0.2,0.0003,0.4573002842254937,0.003352642059326172,0.014926208,-3.761870388686657,0.174658203125,-0.016056293624569663
8192,4.76,562,14,4,-0.5649999999999998,0.18601647019386292,30,0.2,0.0003,0.45818033888936044,-0.0091705322265625,0.014816637,-3.7649769835174083,0.236572265625,-0.021434915956342594
10240,4.83,550,18,5,-0.5458,0.27956530451774597,40,0.2,0.0003,0.5115071903914213,-0.0009930133819580078,0.014222299,-3.763848404586315,0.188134765625,-0.01729422232747311
12288,4.75,542,22,6,-0.42559999999999987,0.23092330992221832,50,0.2,0.0003,0.508785648457706,0.00286179780960083,0.014647676,-3.7628372840583326,0.2216796875,-0.02254511533828918
14336,4.88,517,27,7,-0.3870999999999998,0.10618031769990921,60,0.2,0.0003,0.455970608163625,0.007668018341064453,0.015150631,-3.7634763732552527,0.22451171875,-0.01974816803121939
16384,4.6,516,31,8,-0.6032,0.1609894037246704,70,0.2,0.0003,0.446283963508904,0.0054174065589904785,0.014340889,-3.751034584641457,0.193017578125,-0.01720182200660929
