rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/policy_gradient_loss
4.86,2,2048,-0.15539602,883,1,,,,,,,,,,
4.95,8,4096,0.0046976100000000135,474,2,0.2896964478772134,-0.00979471206665039,0.0003,0.442724609375,-4.493891462683678,0.019667048,0.07679745554924011,0.2,10,-0.036759736665408126
4.92,13,6144,-0.03188652000000001,464,3,0.2998403033823706,-0.0016521215438842773,0.0003,0.445654296875,-4.471173557639122,0.02159918,0.10321186482906342,0.2,20,-0.03455903883441351
4.91,17,8192,0.03680236000000003,476,4,0.34941057024989275,0.0005095005035400391,0.0003,0.423291015625,-4.455923944711685,0.020523513,0.2693394422531128,0.2,30,-0.03301851204378181
4.95,21,10240,0.07181902,471,5,0.3303476894972846,-0.00016617774963378906,0.0003,0.450732421875,-4.433286778628826,0.021657092,0.08931104838848114,0.2,40,-0.03531591342762112
4.79,26,12288,-0.11875876999999999,459,6,0.35370666671078654,-0.00027108192443847656,0.0003,0.433935546875,-4.407711389660835,0.020849146,0.18325459957122803,0.2,50,-0.03196591896848986
4.84,30,14336,0.044094390000000046,467,7,0.48263232386671007,0.0001423954963684082,0.0003,0.391064453125,-4.38230486959219,0.020301778,0.09407954663038254,0.2,60,-0.03239231091574766
4.86,35,16384,0.09613408,467,8,0.42554385068360717,0.0006790757179260254,0.0003,0.36611328125,-4.353030425310135,0.019161733,0.23453807830810547,0.2,70,-0.029784538316016552
