time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
2,2048,1,971,3.48,-1.9451999999999996,,,,,,,,,,
5,4096,2,683,3.81,-1.8689000000000002,-0.03305328993010335,0.2,-0.11530721187591553,0.0003,10,0.018753843,0.016761090606451035,-1.5997343048453332,0.2114183576486539,0.17578125
9,6144,3,620,4.01,-1.8311,-0.03729693650093395,0.2,-0.005201578140258789,0.0003,20,0.02065725,0.1323833465576172,-1.553305045887828,0.3390896842349321,0.215478515625
14,8192,4,555,4.44,-1.3777000000000001,-0.04634981837880332,0.2,0.026143014430999756,0.0003,30,0.022751005,0.18508216738700867,-1.4662860427051783,0.5350504666566849,0.24091796875
18,10240,5,548,4.68,-0.8029999999999998,-0.04792062918422744,0.2,0.026488423347473145,0.0003,40,0.02184745,0.30855226516723633,-1.3487715844064951,0.7529931413009763,0.22353515625
22,12288,6,543,4.76,-0.6246999999999999,-0.045698265387909484,0.2,0.019511640071868896,0.0003,50,0.029490834,0.362954318523407,-1.2122849211096764,0.7759361756965518,0.18095703125
27,14336,7,527,4.92,-0.34769999999999984,-0.03201265409588814,0.2,0.01570218801498413,0.0003,60,0.017104922,0.2858645021915436,-1.1153029765933753,0.6297361421398818,0.145458984375
31,16384,8,527,4.93,-0.16869999999999993,-0.023426617161021568,0.2,0.007187247276306152,0.0003,70,0.01240577,0.16383203864097595,-1.044080507941544,0.3700911845546216,0.142431640625
34,18432,9,526,4.93,-0.16869999999999996,-0.013808456130209378,0.2,-0.025098323822021484,0.0003,80,0.01257222,0.14056646823883057,-0.9974147249013186,0.20915198215807324,0.131982421875
38,20480,10,525,4.99,-0.10959999999999999,-0.014773076904384652,0.2,-0.004154324531555176,0.0003,90,0.012654277,0.07248951494693756,-0.9860363293439149,0.144263175616652,0.19599609375
44,22528,11,511,4.97,-0.12929999999999997,-0.012579272866423708,0.2,-0.0004674196243286133,0.0003,100,0.013162953,0.07839006930589676,-0.9709382452070713,0.16625031432777176,0.147705078125
47,24576,12,512,5.0,-0.10969999999999999,-0.013070661245728843,0.2,0.0017313361167907715,0.0003,110,0.018289464,0.058019451797008514,-0.9726617250591516,0.12752104335231707,0.17548828125
52,26624,13,510,4.95,-0.1092,-0.012169907486531883,0.2,-0.0006616115570068359,0.0003,120,0.0090312,0.01397436112165451,-0.9463722944259644,0.11940203497251786,0.167333984375
56,28672,14,509,4.98,-0.10949999999999999,-0.00691655096161412,0.2,-0.021938323974609375,0.0003,130,0.01820893,0.005723660811781883,-0.9411494614556432,0.06001892354806841,0.178662109375
59,30720,15,516,5.0,-0.0898,-0.004787332353589591,0.2,-0.0030527114868164062,0.0003,140,0.011394741,0.02223069593310356,-0.9397848449647427,0.05350191562497457,0.15341796875
62,32768,16,522,5.0,-0.04999999999999999,-0.007170773425605148,0.2,0.0001957416534423828,0.0003,150,0.014971819,-0.005037924274802208,-0.9292142499238253,0.023038121687977763,0.184521484375
65,34816,17,528,4.98,-0.06969999999999998,-0.0075466402820893565,0.2,-0.005907177925109863,0.0003,160,0.015017962,-0.04156240448355675,-0.9178635839372873,0.01785014260708522,0.212255859375
69,36864,18,532,4.97,-0.08950000000000001,-0.005884090751351323,0.2,-0.0004317760467529297,0.0003,170,0.008695772,-0.01099230907857418,-0.9113322898745537,0.03298440906251017,0.159375
73,38912,19,531,4.99,-0.06979999999999999,-0.011800686131755356,0.2,0.003994107246398926,0.0003,180,0.014217935,0.007273223251104355,-0.9038423117250204,0.03932532533935955,0.22373046875
77,40960,20,527,5.0,-0.04999999999999999,-0.00795519500534283,0.2,-0.020415544509887695,0.0003,190,0.01904673,-0.011662415228784084,-0.8637611094862223,0.014192179972269514,0.20419921875
81,43008,21,527,4.99,-0.06979999999999997,-0.0025937741782399827,0.2,0.003670930862426758,0.0003,200,0.016919153,-0.030910318717360497,-0.855650607869029,0.01777027305803358,0.169873046875
86,45056,22,521,4.99,-0.1096,-0.007795611674373504,0.2,0.0080108642578125,0.0003,210,0.014506303,-0.014608092606067657,-0.8381425371393562,0.021842657814738688,0.193994140625
90,47104,23,520,5.0,-0.04999999999999999,-0.0038806152719189414,0.2,-0.0004407167434692383,0.0003,220,0.0081091765,0.008298260159790516,-0.8239258488640189,0.04166276666551312,0.153466796875
94,49152,24,520,4.99,-0.06979999999999999,-0.007183072327461559,0.2,0.0028227567672729492,0.0003,230,0.010978166,0.01029023714363575,-0.7888853818178176,0.030254982363794626,0.142041015625
98,51200,25,519,5.0,-0.04999999999999999,-0.007614986078988295,0.2,0.009722650051116943,0.0003,240,0.019018527,0.0025712691713124514,-0.7693660238757729,0.02561591628402766,0.186279296875
