time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,4.84,1074,1,1,-0.3866999999999999,,,,,,,,,,
4096,4.74,707,5,2,-0.44539999999999985,0.136884868144989,10,0.2,0.0003,0.4538128473330289,-0.001721501350402832,0.016230654,-3.87903146520257,0.23154296875,-0.019298489604261705
6144,4.83,636,9,3,-0.42639999999999995,0.1783623993396759,20,0.2,0.0003,0.4047363708727062,-0.006037592887878418,0.018050952,-3.867458836734295,0.24736328125,-0.01932845801638905
8192,4.71,564,14,4,-0.5644999999999998,0.2303079515695572,30,0.2,0.0003,0.4357873131521046,0.0005317330360412598,0.015620967,-3.874543412774801,0.242236328125,-0.022074601391796022
10240,4.75,556,18,5,-0.38579999999999987,0.231873020529747,40,0.2,0.0003,0.5064909312874079,0.005109965801239014,0.015550722,-3.8739465832710267,0.228125,-0.02065235238405876
12288,4.8,550,22,6,-0.40619999999999984,0.10159595310688019,50,0.2,0.0003,0.3590907646808773,0.011621296405792236,0.0163588,-3.866519794613123,0.252587890625,-0.02285641019116156
14336,4.7,534,26,7,-0.4449999999999998,0.21589922904968262,60,0.2,0.0003,0.477041574427858,0.006183743476867676,0.015710667,-3.864665601402521,0.228955078125,-0.019411158774164505
16384,4.77,533,30,8,-0.5451999999999999,0.17154893279075623,70,0.2,0.0003,0.49064174070954325,0.008751988410949707,0.01692674,-3.8646092392504214,0.27216796875,-0.024111446397728286
