time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss
2048,1048,1,1,4.62,-0.4952333799999999,,,,,,,,,,
4096,684,5,2,4.5,-0.6258000599999999,0.010774851,10,0.2,-0.0006011724472045898,-0.014864914072677492,0.42802709341049194,0.8677962433546782,0.096337890625,0.0003,-3.1275961458683015
6144,633,9,3,4.5,-0.32133341000000004,0.014220372,20,0.2,-0.007553577423095703,-0.024659997678827494,0.4363580644130707,0.9533622611314059,0.168603515625,0.0003,-3.109199095517397
8192,578,14,4,4.62,-0.08900007,0.012218409,30,0.2,-0.009866952896118164,-0.023908023904368747,0.456939697265625,0.9763618636876344,0.152490234375,0.0003,-3.090477669239044
10240,572,17,5,4.58,-0.23366679,0.013170041,40,0.2,-0.0004011392593383789,-0.027908456977456808,0.5178177356719971,1.011698349006474,0.1791015625,0.0003,-3.0642066784203053
12288,568,21,6,4.54,0.044499880000000026,0.016988423,50,0.2,-0.0018992424011230469,-0.033415497880196196,0.4178643524646759,1.0887831611558796,0.218896484375,0.0003,-2.99632370993495
14336,566,25,7,4.71,0.4290998700000001,0.017293785,60,0.2,0.016946256160736084,-0.035256382208899595,0.35608261823654175,1.025160424783826,0.245703125,0.0003,-2.984051766991615
16384,546,29,8,4.78,0.6523665200000001,0.021736922,70,0.2,0.04170215129852295,-0.03806395388382953,0.33916276693344116,0.9508284543640911,0.291455078125,0.0003,-2.8608786806464197
18432,547,33,9,4.84,0.6818998,0.021118496,80,0.2,0.06869882345199585,-0.038315202086232604,0.4817736744880676,0.8785536907613277,0.27451171875,0.0003,-2.782365936040878
20480,547,37,10,4.78,0.75533317,0.018964866,90,0.2,0.09851175546646118,-0.040637084591435266,0.4591119587421417,0.8530053569003939,0.3234375,0.0003,-2.6815761268138885
22528,547,41,11,4.84,1.13499978,0.019859618,100,0.2,0.14755117893218994,-0.03929382437927416,0.3616873025894165,0.7554552845656872,0.365576171875,0.0003,-2.5555936068296434
24576,536,45,12,4.86,1.21149977,0.023815105,110,0.2,0.24237173795700073,-0.03860799200483598,0.3139963448047638,0.6138261030428112,0.417138671875,0.0003,-2.4029368221759797
26624,538,49,13,4.94,1.3113997200000003,0.020606605,120,0.2,0.31474876403808594,-0.029475765605457126,0.20314933359622955,0.5960750996135176,0.321484375,0.0003,-2.2944210141897203
28672,540,53,14,4.89,1.4218330600000002,0.018858068,130,0.2,0.38759148120880127,-0.026750306015310345,0.12790416181087494,0.4667204521596432,0.3576171875,0.0003,-2.163303119316697
30720,541,56,15,4.94,1.4830330400000002,0.017626427,140,0.2,0.4493023753166199,-0.029795164745883083,0.08418780565261841,0.42856224975548685,0.374658203125,0.0003,-2.0468915097415445
32768,531,61,16,5.0,1.6693996899999999,0.02290757,150,0.2,0.5355474948883057,-0.021412570423854048,0.0690680593252182,0.3177332486375235,0.314453125,0.0003,-1.901882140338421
34816,531,65,17,4.97,1.6850996800000002,0.020257559,160,0.2,0.6190342307090759,-0.011967095764703117,0.15617524087429047,0.26376298079267146,0.27861328125,0.0003,-1.8347166761755944
36864,530,69,18,4.95,1.6625663400000001,0.014495184,170,0.2,0.6260797381401062,-0.00766555675509153,0.03947940468788147,0.2678812293394003,0.23974609375,0.0003,-1.7981938146054746
38912,524,74,19,4.98,1.5576663400000001,0.021741629,180,0.2,0.7221271991729736,-0.006697277729108464,0.06080920994281769,0.19160472519288305,0.27421875,0.0003,-1.8768124669790267
40960,523,78,20,4.98,1.6457996700000002,0.0235852,190,0.2,0.6291162967681885,-0.010335175815271214,0.08574051409959793,0.2913748109946027,0.283349609375,0.0003,-1.850813354179263
43008,525,81,21,4.99,1.7435330000000002,0.02226577,200,0.2,0.6984208822250366,-0.00671109227114357,0.08565308898687363,0.19326780178816988,0.276171875,0.0003,-1.7520026490092278
45056,526,85,22,4.97,1.6403996699999999,0.019394133,210,0.2,0.6707049608230591,-0.009475910397304688,0.003396637737751007,0.21984743495704606,0.30029296875,0.0003,-1.7495975002646447
47104,523,89,23,5.0,1.72176634,0.013138475,220,0.2,0.6573815941810608,-0.010756800297531299,0.08742693811655045,0.23570158302609343,0.248095703125,0.0003,-1.7580402486026288
49152,525,93,24,4.97,1.7187330000000003,0.01679308,230,0.2,0.7115513682365417,-0.004832265438744798,0.04616106301546097,0.1938228475424694,0.27548828125,0.0003,-1.7256310179829597
51200,526,97,25,4.97,1.66403301,0.015741829,240,0.2,0.7002226114273071,-0.01175527004961623,0.07369868457317352,0.2017538382220664,0.250927734375,0.0003,-1.7878040187060833
