rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction
-1.9049999999999998,1177,1,3.44,1,2048,,,,,,,,,,
-1.8683999999999998,823,2,3.76,4,4096,0.2,-1.6014600094407796,-0.025998194300336765,-0.23961782455444336,0.0003,0.2980171870585764,0.015080613,10,0.053295303136110306,0.12177734375
-1.8095999999999999,750,3,3.85,8,6144,0.2,-1.5569487757980824,-0.03609043550095521,-0.005672812461853027,0.0003,0.27340021417476235,0.020459332,20,0.05511542409658432,0.2552734375
