time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
2048,3.44,974,2,1,-1.9248999999999998,,,,,,,,,,
4096,3.89,665,6,2,-1.8497999999999999,0.01719164103269577,10,0.2,0.0003,0.3602810629439773,-0.04823899269104004,0.020594563,-1.599336188286543,0.166064453125,-0.03495079878339311
6144,4.16,539,11,3,-1.554,0.1207316666841507,20,0.2,0.0003,0.29475934538058934,-0.028490543365478516,0.023044165,-1.5504372224211693,0.229052734375,-0.033836734047508796
8192,4.26,530,15,4,-1.4356,0.26512283086776733,30,0.2,0.0003,0.592010328732431,0.030061423778533936,0.023258906,-1.4653889995068312,0.27021484375,-0.05009015981340781
10240,4.69,523,19,5,-1.0021,0.3212253153324127,40,0.2,0.0003,0.7551221655681729,0.028223693370819092,0.022259075,-1.3498739507049322,0.2583984375,-0.05043849784124177
12288,4.83,495,24,6,-0.5457999999999998,0.34597283601760864,50,0.2,0.0003,0.7830390406772494,0.003882169723510742,0.030402705,-1.233488792553544,0.17783203125,-0.04387277153728064
14336,4.85,486,29,7,-0.3668999999999999,0.2831612229347229,60,0.2,0.0003,0.5855584159493447,0.03357821702957153,0.014397849,-1.112136460840702,0.153076171875,-0.030317775314324537
16384,4.88,484,33,8,-0.26769999999999994,0.2617533206939697,70,0.2,0.0003,0.3537773854797706,-0.03692948818206787,0.00960058,-1.0492067981511355,0.128955078125,-0.018913533991144503
