rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/policy_gradient_loss
4.8,2,2048,-0.13668732999999997,901,1,,,,,,,,,,
4.77,8,4096,-0.20386347999999999,497,2,0.5024332089349628,0.0034196972846984863,0.0003,0.36796875,-4.00810119509697,0.019937363,0.30528903007507324,0.2,10,-0.036136735913169106
4.83,12,6144,-0.11144843999999997,479,3,0.4967843825928867,-0.009972810745239258,0.0003,0.3693359375,-3.991262312233448,0.01792876,0.1430646926164627,0.2,20,-0.033732750202761966
4.77,17,8192,0.04978248,468,4,0.5698911675252021,-0.006171584129333496,0.0003,0.382958984375,-3.969961600750685,0.019551313,0.2332688868045807,0.2,30,-0.035508141612808686
4.87,23,10240,0.11171900000000003,443,5,0.6319125885143876,-0.0014736652374267578,0.0003,0.337255859375,-3.946673213690519,0.01760972,0.37275657057762146,0.2,40,-0.03153737911488861
4.88,27,12288,0.11645873000000001,442,6,0.5578471397515387,0.0015230178833007812,0.0003,0.3251953125,-3.9195278227329253,0.017000306,0.279977411031723,0.2,50,-0.02676654268288985
4.83,32,14336,0.18570709999999999,444,7,0.6902044610120356,0.00235670804977417,0.0003,0.2515625,-3.874965079128742,0.01693869,0.3888472318649292,0.2,60,-0.022704045139835215
4.79,38,16384,0.38736266,430,8,0.6497265701182187,0.007243931293487549,0.0003,0.30458984375,-3.828715015947819,0.018132217,0.33757731318473816,0.2,70,-0.024565233355679082
